;Instruction	Operands	Latency	Throughput	Remark
IMUL	r32,r32,i	3	1	
IMUL	r64,r64,i	3	1	
IMUL	r16,m16,i		1	
IMUL	r32,m32,i		1	
IMUL	r64,m64,i		1	
MULX	r32,r32,r32	4	1	
MULX	r32,r32,m32		1	
MULX	r64,r64,r64	4	1	
MULX	r64,r64,m64		1	
DIV	r8	23	6	
DIV	r16	23	6	
DIV	r32	26	6	
DIV	r64	35-88	21-83	
IDIV	r8	24	6	
IDIV	r16	23	6	
IDIV	r32	26	6	
IDIV	r64	42-95	24-90	
CBW		1		
CWDE		1		
CDQE		1		
CWD		1		
CDQ		1		
				
				
CQO		1		
POPCNT	r,r	3	1	
POPCNT	r,m		1	
CRC32	r,r	3	1	
CRC32	r,m		1	
AND OR XOR	r,r/i	1	0.25	
AND OR XOR	r,m		0.5	
AND OR XOR	m,r/i	5	1	
TEST	r,r/i	1	0.25	
TEST	m,r/i	1	0.5	
SHR SHL SAR	r,i	1	0.5	
SHR SHL SAR	m,i		2	
SHR SHL SAR	r,cl	2	2	
SHR SHL SAR	m,cl		4	
ROR ROL	r,1	1	1	
ROR ROL	r,i	1	0.5	
ROR ROL	m,i		2	
ROR ROL	r,cl	2	2	
ROR ROL	m,cl		4	
RCR RCL	r,1	2	2	
RCR RCL	m,1		3	
RCR RCL	r,i	6	6	
RCR RCL	m,i		6	
RCR RCL	r,cl	6	6	
RCR RCL	m,cl		6	
SHRD SHLD	r,r,i	3	1	
SHRD SHLD	m,r,i		2	
SHLD	r,r,cl	3	2	
SHRD	r,r,cl	4	2	
SHRD SHLD	m,r,cl		4	
SHLX SHRX SARX	r,r,r	1	0.5	
SHLX SHRX SARX	r,m,r		0.5	
RORX	r,r,i	1	0.5	
RORX	r,m,i		0.5	
BT	r,r/i	1	0.5	
BT	m,r		5	
BT	m,i		0.5	
BTR BTS BTC	r,r/i	1	0.5	
BTR BTS BTC	m,r		5	
BTR BTS BTC	m,i		1	
BSF BSR	r,r	3	1	
BSF BSR	r,m		1	
SETE SETZ SETNE SETNZ SETA SETNBE SETAE SETNB SETNC SETB SETNAE SETC SETBE SETNA SETG SETNLE SETGE SETNL SETL SETNGE SETLE SETNG SETS SETNS SETO SETNO SETPE SETP SETPO SETNP	r	1	0.5	
SETE SETZ SETNE SETNZ SETA SETNBE SETAE SETNB SETNC SETB SETNAE SETC SETBE SETNA SETG SETNLE SETGE SETNL SETL SETNGE SETLE SETNG SETS SETNS SETO SETNO SETPE SETP SETPO SETNP	m		1	
CLC	r,r		0.25	
STC			0.25	
CMC		1	1	
CLD STD			4	
LZCNT		3	1	
				
				
LZCNT	r,m		1	
TZCNT	r,r	3	1	
TZCNT	r,m		1	
ANDN	r,r,r	1	0.5	
ANDN	r,r,m	1	0.5	
BLSI BLSMSK BLSR	r,r	1	0.5	
BLSI BLSMSK BLSR	r,m		0.5	
BEXTR	r,r,r	2	0.5	
BEXTR	r,m,r		1	
BZHI	r,r,r	1	0.5	
BZHI	r,m,r		0.5	
PDEP	r,r,r	3	1	
PDEP	r,r,m		1	
PEXT	r,r,r	3	1	
PEXT	r,r,m		1	
JMP	short/near		1-2	
JMP	r		2	
JMP	m		2	
JE JZ JNE JNZ JA JNBE JAE JNB JB JNAE JBE JNA JG JNLE JGE JNL JL JNGE JLE JNG JC JNC JO JNO JS JNS JPO JNP JPE JP	short/near		1-2	prediction taken
JE JZ JNE JNZ JA JNBE JAE JNB JB JNAE JBE JNA JG JNLE JGE JNL JL JNGE JLE JNG JC JNC JO JNO JS JNS JPO JNP JPE JP	short/near		0.5-1	prediction not taken
;Fused arithmetic and branch			1-2	prediction taken
;Fused arithmetic and branch			0.5-1	prediction not taken
JCXZ JECXZ JRCXZ	short		0.5-2	
LOOP	short		5	
LOOPE LOOPNE	short		6	
CALL	near		3	
CALL	r		2	
CALL	m		3	
RET			1	
RET	i		2	
BOUND	r,m		8	
INTO			6	
LODSB LODSW			1	
LODSD LODSQ			1	
;REP LODS			~2n	
STOS			1	
;REP STOS			~0.5n	worst case
;REP STOS			1/32B	best case aligned by 32
MOVS			4	
;REP MOVS			< 1n	worst case
				
				
;REP MOVS			1/32B	
SCAS			1	
;REP SCAS			≥2n	
CMPS			4	
;REP CMPS			≥2n	
XADD	m,r		5	
;LOCK XADD	m,r		18	
;LOCK ADD	m,r		18	
CMPXCHG	m,r		6	
;LOCK CMPXCHG	m,r		18	
CMPXCHG8B	m,r		11	
;LOCK CMPXCHG8B	m,r		19	
CMPXCHG16B	m,r		16	
;LOCK CMPXCHG16B	m,r		26	
NOP			0.25	
;Long NOP (0F 1F)			0.25	
PAUSE				
ENTER	a,0		8	
ENTER	a,b	~87+2b		
LEAVE			5	
XGETBV			9	
RDTSC			25	
RDTSCP			32	
RDPMC			40	
RDRAND	r		~460	
RDSEED	r		~460	
FLD	r	1	0.5	
FLD	m32/64	3	0.5	
FLD	m80	4	2	
FBLD	m80	46	22	
FST FSTP	r	1	0.5	
FST FSTP	m32/m64	3	1	
FSTP	m80	4	5	
FBSTP	m80	264	266	
FXCH	r	0	0.5	
FILD	m	5	1	
FIST FISTP	m	7	1	
FISTTP	m	7	2	
				
				
FLDZ			1	
FLD1			2	
FLDPI FLDL2E			2	
FCMOVB FCMOVBE FCMOVE FCMOVNB FCMOVNBE FCMOVNE FCMOVNU FCMOVU	r	3	2	
FNSTSW	AX	6	2	
FNSTSW	m16	6	1	
FLDCW	m16	7	2	
FNSTCW	m16	6	1	
FINCSTP FDECSTP		0	0.5	
FFREE FFREEP	r		0.5	
FNSAVE	m	176	176	
FRSTOR	m	175	175	
FADD FADDP FSUBR FSUBP	r	3	1	
FADD FADDP FSUBR FSUBP	m		1	
FMUL FMULP	r	5	1	
FMUL FMULP	m		1	
FDIV FDIVR FDIVP	r	14-16	4-5	
FDIV FDIVR FDIVP	m		4-5	
FABS		1	1	
FCHS		1	1	
FCOM FCOMP FUCOM	r	3	1	
FCOM FCOMP FUCOM	m		1	
FCOMPP FUCOMPP	r		1	
FIADD FISUB FISUBR	m		1	
FIMUL	m		2	
FIDIV FIDIVR	m		1	
FICOM FICOMP	m		2	
FTST		3	1	
FXAM		6	2	
FPREM		26-30	17	
FPREM1		30-57	17	
FRNDINT		21	11	
FSCALE		130	130	
FXTRACT		11	11	
FSQRT		14-21	4-7	
FSIN		50-120		
FCOS		50-130		
FSINCOS		55-150		
F2XM1		65-80		
FYL2X		103		
FYL2XP1		77		
FPTAN		140-160		
FPATAN		100-160		
				
				
FNOP			0.5	
WAIT			2	
FNCLEX			22	
FNINIT			78	
MOVD	r32/64,(x)mm	2	1	
MOVD	m32/64,(x)mm	3	1	
MOVD	(x)mm,r32/64	2	1	
MOVD	(x)mm,m32/64	2	0.5	
MOVQ	r64,(x)mm	2	1	
MOVQ	(x)mm,r64	1	1	
MOVQ	mm,mm	1	0.5	
MOVQ	x,x	1	0.33	
MOVQ	(x)mm,m64	2	0.5	
MOVQ	m64, (x)mm	3	1	
MOVDQA MOVDQU	x,x	0-1	0.25	
MOVDQA MOVDQU	x, m128	2	0.5	
MOVDQA MOVDQU	m128, x	3	1	
VMOVDQA VMOVDQU	y,y	0-1	0.25	
VMOVDQA VMOVDQU	y,m256	3	0.5	
VMOVDQA VMOVDQU	m256,y	3	1	
LDDQU	x, m128	3	0.5	
MOVDQ2Q	mm, x	2	1	
MOVQ2DQ	x,mm	2	1	
MOVNTQ	m64,mm	~418	1	
MOVNTDQ	m128,x	~450	1	
VMOVNTDQ	m256,y	~400	1	
MOVNTDQA	x, m128	3	0.5	
VMOVNTDQA	y,m256	3	0.5	
PACKUSDW	mm,mm	2	2	
PACKUSDW	mm,m64		2	
PACKSSWB PACKSSDW PACKUSWB	x,x / y,y,y	1	1	
PACKSSWB PACKSSDW PACKUSWB	x,m / y,y,m		1	
PACKSSWB PACKSSDW PACKUSWB	x,x / y,y,y	1	1	
PACKSSWB PACKSSDW PACKUSWB	x,m / y,y,m		1	
PUNPCKHBW PUNPCKLBW PUNPCKHWD PUNPCKLWD PUNPCKHDQ PUNPCKLDQ	v,v / v,v,v	1	1	
PUNPCKHBW PUNPCKLBW PUNPCKHWD PUNPCKLWD PUNPCKHDQ PUNPCKLDQ	v,m / v,v,m		1	
PUNPCKHQDQ PUNPCKLQDQ	x,x / y,y,y	1	1	
				
				
PUNPCKHQDQ PUNPCKLQDQ	x,m / y,y,m		1	
PMOVSXBW PMOVZXBW PMOVSXBD PMOVZXBD PMOVSXBQ PMOVZXBQ PMOVSXWD PMOVZXWD PMOVSXDQ PMOVZXDQ	x,x	1	1	
PMOVSXBW PMOVZXBW PMOVSXBD PMOVZXBD PMOVSXBQ PMOVZXBQ PMOVSXWD PMOVZXWD PMOVSXDQ PMOVZXDQ	x,m		1	
VPMOVSXBW VPMOVZXBW VPMOVSXBD VPMOVZXBD VPMOVSXBQ VPMOVZXBQ VPMOVSXWD VPMOVZXWD VPMOVSXDQ VPMOVZXDQ	y,x	3	1	
VPMOVSXBW VPMOVZXBW VPMOVSXBD VPMOVZXBD VPMOVSXBQ VPMOVZXBQ VPMOVSXWD VPMOVZXWD VPMOVSXDQ VPMOVZXDQ	y,m		1	
PSHUFB	v,v / v,v,v	1	1	
PSHUFB	v,m / v,v,m		1	
PSHUFW	mm,mm,i	1	1	
PSHUFW	mm,m64,i		1	
PSHUFD	v,v,i	1	1	
PSHUFD	v,m,i		1	
PSHUFLW PSHUFHW	v,v,i	1	1	
PSHUFLW PSHUFHW	v,m,i		1	
PALIGNR	v,v,i / v,v,v,i	1	1	
PALIGNR	v,m,i / v,v,m,i		1	
PBLENDVB	x,x,xmm0	1	1	
PBLENDVB	x,m,xmm0		2	
VPBLENDVB	v,v,v,v	2	1	
VPBLENDVB	v,v,m,v		2	
PBLENDW	x,x,i / v,v,v,i	1	1	
PBLENDW	x,m,i / v,v,m,i		1	
VPBLENDD	v,v,v,i	1	0.33	
VPBLENDD	v,v,m,i		0.5	
VPERMD	y,y,y	3	1	
VPERMD	y,y,m		1	
VPERMQ	y,y,i	3	1	
VPERMQ	y,m,i		1	
VPERM2I128	y,y,y,i	3	1	
VPERM2I128	y,y,m,i		1	
MASKMOVQ	mm,mm	~450	2	
MASKMOVDQU	x,x	18-500	6	
VPMASKMOVD VPMASKMOVQ	v,v,m	4	0.5	
VPMASKMOVD VPMASKMOVQ	m,v,v	14	1	
PMOVMSKB	r,v	2-3	1	
PEXTRB PEXTRW PEXTRD PEXTRQ	r32,x,i	3	1	
PEXTRB PEXTRW PEXTRD PEXTRQ	m8,x,i		1	
VEXTRACTI128	x,y,i	3	1	
VEXTRACTI128	m,y,i	4	1	
PINSRB	x,r32,i	3	2	
PINSRB	x,m8,i		1	
PINSRW	(x)mm,r32,i	3	2	
PINSRW	(x)mm,m16,i		1	
PINSRD PINSRQ	x,r32,i	3	2	
PINSRD PINSRQ	x,m32,i		1	
VINSERTI128	y,y,x,i	3	1	
VINSERTI128	y,y,m,i	3	0.5	
VPBROADCASTB VPBROADCASTW VPBROADCASTD VPBROADCASTQ	x,x	1	1	
				
				
VPBROADCASTB VPBROADCASTW	x,m8/16	7	1	
VPBROADCASTD VPBROADCASTQ	x,m32/64	4	0.5	
VPBROADCASTB VPBROADCASTW VPBROADCASTD VPBROADCASTQ	y,x	3	1	
VPBROADCASTB VPBROADCASTW	y,m8/16	7	1	
VPBROADCASTD VPBROADCASTQ	y,m32/64	3	0.5	
VBROADCASTI128	y,m128	3	0.5	
VPGATHERDD	x,[r+s*x],x		4	
VPGATHERDD	y,[r+s*y],y		5	
VPGATHERQD	x,[r+s*x],x		2	
VPGATHERQD	x,[r+s*y],x		4	
VPGATHERDQ	x,[r+s*x],x		2	
VPGATHERDQ	y,[r+s*x],y		4	
VPGATHERQQ	x,[r+s*x],x		2	
VPGATHERQQ	y,[r+s*y],y		4	
PADDSB PADDSW PADDUSB PADDUSW PSUBSB PSUBSW PSUBUSB PSUBUSW	v,v / v,v,v	1	0.33	
PADDSB PADDSW PADDUSB PADDUSW PSUBSB PSUBSW PSUBUSB PSUBUSW	v,m / v,v,m		0.5	
PHADDW PHADDSW PHADDD PHSUBW PHSUBSW PHSUBD	v,v / v,v,v	3	2	
PHADDW PHADDSW PHADDD PHSUBW PHSUBSW PHSUBD	v,m / v,v,m		2	
PCMPEQB PCMPEQW PCMPEQD PCMPGTB PCMPGTW PCMPGTD	mm,mm	1	1	
PCMPEQB PCMPEQW PCMPEQD PCMPGTB PCMPGTW PCMPGTD	x,x / y,y,y	1	0.5	
PCMPEQB PCMPEQW PCMPEQD PCMPGTB PCMPGTW PCMPGTD	x,m / y,y,m		0.5	
PCMPEQQ	v,v / v,v,v	1	0.5	
PCMPEQQ	v,m / v,v,m		0.5	
PCMPGTQ	v,v / v,v,v	3	1	
PCMPGTQ	v,m / v,v,m		1	
PMULLW PMULHW PMULHUW	mm,mm	5	1	
PMULLW PMULHW PMULHUW	x,x / y,y,y	5	0.5	
PMULLW PMULHW PMULHUW	x,m / y,y,m		0.5	
PMULHRSW	mm,mm	5	1	
PMULHRSW	x,x / y,y,y	5	0.5	
PMULHRSW	x,m / y,y,m		0.5	
PMULLD	x,x / y,y,y	10	1	
PMULLD	x,m / y,y,m		1	
PMULDQ	x,x / y,y,y	5	0.5	
PMULDQ	x,m / y,y,m		0.5	
PMULUDQ	mm,mm	5	1	
				
				
PMULUDQ	x,x / y,y,y	5	0.5	
PMULUDQ	x,m / y,y,m		0.5	
PMADDWD	mm,mm	5	1	
PMADDWD	x,x / y,y,y	5	0.5	
PMADDWD	x,m / y,y,m		0.5	
PMADDUBSW	mm,mm	5	1	
PMADDUBSW	x,x / y,y,y	5	0.5	
PMADDUBSW	x,m / y,y,m		0.5	
PAVGB PAVGW	mm,mm	1	1	
PAVGB PAVGW	x,x / y,y,y	1	0.5	
PAVGB PAVGW	x,m / y,y,m		0.5	
PMINSB PMINSW PMINSD PMINUB PMINUW PMINUD PMAXSB PMAXSW PMAXSD PMAXUB PMAXUW PMAXUD	mm,mm	1	1	
PMINSB PMINSW PMINSD PMINUB PMINUW PMINUD PMAXSB PMAXSW PMAXSD PMAXUB PMAXUW PMAXUD	x,x / y,y,y	1	0.5	
PMINSB PMINSW PMINSD PMINUB PMINUW PMINUD PMAXSB PMAXSW PMAXSD PMAXUB PMAXUW PMAXUD	x,m / y,y,m		0.5	
PHMINPOSUW	x,x	4	1	
PHMINPOSUW	x,m128		1	
PABSB PABSW PABSD	mm,mm	1	1	
PABSB PABSW PABSD	x,x / y,y	1	0.5	
PABSB PABSW PABSD	x,m / y,m		0.5	
PSIGNB PSIGNW PSIGND	mm,mm	1	1	
PSIGNB PSIGNW PSIGND	x,x / y,y,y	1	0.5	
PSIGNB PSIGNW PSIGND	x,m / y,y,m		0.5	
PSADBW	v,v / v,v,v	3	1	
PSADBW	v,m / v,v,m		1	
MPSADBW	x,x,i / v,v,v,i	4	2	
MPSADBW	x,m,i / v,v,m,i		2	
PAND PANDN POR PXOR	mm,mm	1	0.5	
PAND PANDN POR PXOR	x,x / y,y,y	1	0.33	
PAND PANDN POR PXOR	v,m / v,v,m		0.5	
PTEST	v,v	3	1	
PTEST	v,m		1	
PSLLW PSLLD PSLLQ PSRLW PSRLD PSRLQ PSRAW PSRAD PSRAQ	mm,mm	1	1	
PSLLW PSLLD PSLLQ PSRLW PSRLD PSRLQ PSRAW PSRAD PSRAQ	mm,m64		1	
PSLLW PSLLD PSLLQ PSRLW PSRLD PSRLQ PSRAW PSRAD PSRAQ	x,x / v,v,x	1	1	
				
				
PSLLW PSLLD PSLLQ PSRLW PSRLD PSRLQ PSRAW PSRAD PSRAQ	x,m / v,v,m		0.5	
PSLLW PSLLD PSLLQ PSRLW PSRLD PSRLQ PSRAW PSRAD PSRAQ	mm,i	1	1	
PSLLW PSLLD PSLLQ PSRLW PSRLD PSRLQ PSRAW PSRAD PSRAQ	x,i / y,y,i	1	0.5	
VPSLLVD VPSLLVQ VPSRAVD VPSRLVD VPSRLVQ	v,v,v	1	0.5	
VPSLLVD VPSLLVQ VPSRAVD VPSRLVD VPSRLVQ	v,v,m		0.5	
PSLLDQ PSRLDQ	x,i / v,v,i	1	1	
PCMPESTRI	x,x,i	12	4	
PCMPESTRI	x,m128,i		4	
PCMPESTRM	x,x,i	9	5	
PCMPESTRM	x,m128,i		5	
PCMPISTRI	x,x,i	12	3	
PCMPISTRI	x,m128,i		3	
PCMPISTRM	x,x,i	9	3	
PCMPISTRM	x,m128,i		3	
PCLMULQDQ	x,x,i	7	1	
PCLMULQDQ	x,m,i		1	
AESDEC AESDECLAST AESENC AESENCLAST	x,x	4	1	
AESDEC AESDECLAST AESENC AESENCLAST	x,m		1.5	
AESIMC	x,x	8	2	
AESIMC	x,m		2	
AESKEYGENASSIST	x,x,i	12	12	
AESKEYGENASSIST	x,m,i		12	
EMMS			6	
				
				
MOVAPS MOVAPD	x,x	0-1	0.25	
VMOVAPS VMOVAPD	y,y	0-1	0.25	
MOVAPS MOVAPD MOVUPS MOVUPD	x,m128	2	0.5	
VMOVAPS VMOVAPD VMOVUPS VMOVUPD	y,m256	3	0.5	
MOVAPS MOVAPD MOVUPS MOVUPD	m128,x	3	1	
VMOVAPS VMOVAPD VMOVUPS VMOVUPD	m256,y	3	1	
MOVSS MOVSD	x,x	1	1	
MOVSS MOVSD	x,m32/64	3	0.5	
MOVSS MOVSD	m32/64,x	3	1	
MOVHPS MOVHPD	x,m64	4	1	
MOVHPS MOVHPD	m64,x	3	1	
MOVLPS MOVLPD	x,m64	4	1	
MOVLPS MOVLPD	m64,x	3	1	
MOVHLPS	x,x	1	1	
MOVLHPS	x,x	1	1	
MOVMSKPS MOVMSKPD 	r32,x	2	1	
VMOVMSKPS VMOVMSKPD	r32,y	3	1	
MOVNTPS MOVNTPD	m128,x	~400	1	
VMOVNTPS VMOVNTPD	m256,y	~400	1	
SHUFPS SHUFPD	x,x,i / v,v,v,i	1	1	
SHUFPS SHUFPD	x,m,i / v,v,m,i		1	
VPERMILPS VPERMILPD	v,v,i	1	1	
VPERMILPS VPERMILPD	v,m,i		1	
VPERMILPS VPERMILPD	v,v,v	1	1	
VPERMILPS VPERMILPD	v,v,m		1	
VPERM2F128	y,y,y,i	3	1	
VPERM2F128	y,y,m,i		1	
VPERMPS	y,y,y	3	1	
VPERMPS	y,y,m		1	
VPERMPD	y,y,i	3	1	
VPERMPD	y,m,i		1	
BLENDPS BLENDPD	x,x,i / v,v,v,i	1	0.33	
BLENDPS BLENDPD	x,m,i / v,v,m,i		0.5	
BLENDVPS BLENDVPD	x,x,xmm0	1	1	
BLENDVPS BLENDVPD	x,m,xmm0		1	
VBLENDVPS VBLENDVPD	v,v,v,v	2	1	
VBLENDVPS VBLENDVPD	v,v,m,v		1	
MOVDDUP	v,v	1	1	
MOVDDUP	v,m	3	0.5	
VBROADCASTSS	x,m32	2	0.5	
VBROADCASTSS	y,m32	3	0.5	
VBROADCASTSS	x,x	1	1	
VBROADCASTSS	y,x	3	1	
				
				
VBROADCASTSD	y,m64	3	0.5	
VBROADCASTSD	y,x	3	1	
VBROADCASTF128	y,m128	3	0.5	
MOVSHDUP MOVSLDUP	v,v	1	1	
MOVSHDUP MOVSLDUP	v,m	3	0.5	
UNPCKHPS UNPCKLPS UNPCKHPD UNPCKLPD	x,x / v,v,v	1	1	
UNPCKHPS UNPCKLPS UNPCKHPD UNPCKLPD	x,m / v,v,m		1	
EXTRACTPS	r32,x,i		1	
EXTRACTPS	m32,x,i	5	1	
VEXTRACTF128	x,y,i	3	1	
VEXTRACTF128	m128,y,i	6	1	
INSERTPS	x,x,i	1	1	
INSERTPS	x,m32,i	4	1	
VINSERTF128	y,y,x,i	3	1	
VINSERTF128	y,y,m128,i	5	0.5	
VMASKMOVPS VMASKMOVPD	v,v,m	3	0.5	
VMASKMOVPS VMASKMOVPD	m128,x,x	13	1	
VMASKMOVPS VMASKMOVPD	m256,y,y	13	1	
VGATHERDPS	x,[r+s*x],x	12	4	
VGATHERDPS	y,[r+s*y],y	13	5	
VGATHERQPS	x,[r+s*x],x		2	
VGATHERQPS	x,[r+s*y],x		4	
VGATHERDPD	x,[r+s*x],x		2	
VGATHERDPD	y,[r+s*x],y		4	
VGATHERQPD	x,[r+s*x],x		2	
VGATHERQPD	y,[r+s*y],y		4	
CVTPD2PS	x,x	5	1	
CVTPD2PS	x,m128		1	
VCVTPD2PS	x,y	7	1	
VCVTPD2PS	x,m256		1	
CVTSD2SS	x,x	5	1	
CVTSD2SS	x,m64		1	
CVTPS2PD	x,x	5	1	
CVTPS2PD	x,m64		0.5	
VCVTPS2PD	y,x	7	1	
VCVTPS2PD	y,m128		0.5	
CVTSS2SD	x,x	5	2	
CVTSS2SD	x,m32		2	
CVTDQ2PS	x,x	4	0.5	
CVTDQ2PS	x,m128		0.5	
VCVTDQ2PS	y,y	4	0.5	
VCVTDQ2PS	y,m256		0.5	
CVTPD2DQ CVTTPD2DQ	x,x	4	0.5	
CVTPD2DQ CVTTPD2DQ	x,m128		0.5	
VCVTPD2DQ VCVTTPD2DQ	y,y	4	0.5	
VCVTPD2DQ VCVTTPD2DQ	y,m256		0.5	
CVTDQ2PD	x,x	5	1	
CVTDQ2PD	x,m64		0.5	
VCVTDQ2PD	y,x	7	1	
VCVTDQ2PD	y,m128		0.5	
				
				
CVTPS2DQ CVTTPS2DQ	x,x	5	1	
CVTPS2DQ CVTTPS2DQ	x,m128		1	
VCVTPS2DQ VCVTTPS2DQ	x,y	7	1	
VCVTPS2DQ VCVTTPS2DQ	x,m256		1	
CVTPI2PS	x,mm	6	2	
CVTPI2PS	x,m64		3	
CVTPS2PI CVTTPS2PI	mm,x	7	1	
CVTPS2PI CVTTPS2PI	mm,m128		1	
CVTPI2PD	x,mm	5	1	
CVTPI2PD	x,m64		0.5	
CVTPD2PI CVTTPD2PI	mm,x	5	1	
CVTPD2PI CVTTPD2PI	mm,m128		1	
CVTSI2SS	x,r32	6	2	
CVTSI2SS	x,r64	7	2	
CVTSI2SS	x,m32		3	
CVTSS2SI CVTTSS2SI	r32,x	6	1	
CVTSS2SI CVTTSS2SI	r64,x	7	1	
CVTSS2SI CVTTSS2SI	r32,m32		1	
CVTSI2SD	x,r32/64	6	2	
CVTSI2SD	x,m32		2	
CVTSD2SI CVTTSD2SI	r32/64,x	6	1	
CVTSD2SI CVTTSD2SI	r32,m64		1	
VCVTPS2PH	x,v,i	5-7	1	
VCVTPS2PH	m,v,i		1	
VCVTPH2PS	v,x	5-7	1	
VCVTPH2PS	v,m		1	
				
;Arithmethic				
ADDSS ADDSD ADDPS ADDPD SUBSS SUBSD SUBPS SUBPD	x,x / v,v,v	4	0.5	
ADDSS ADDSD ADDPS ADDPD SUBSS SUBSD SUBPS SUBPD	x,m / v,v,m		0.5	
ADDSUBPS ADDSUBPD	x,x / v,v,v	4	0.5	
ADDSUBPS ADDSUBPD	x,m / v,v,m		0.5	
HADDPS HADDPD HSUBPS HSUBPD	x,x / v,v,v	6	2	
HADDPS HADDPD HSUBPS HSUBPD	x,m / v,v,m		2	
MULSS MULSD MULPS MULPD	x,x / v,v,v	4	0.5	
MULSS MULSD MULPS MULPD	x,m / v,v,m		0.5	
DIVSS	x,x	11	3	
DIVPS	x,x	11	3	
DIVSS DIVPS	x,m		3-5	
DIVSD	x,x	13-14	4	
DIVPD	x,x	13-14	4	
DIVSD DIVPD	x,m		4	
VDIVPS	y,y,y	11	5	
VDIVPS	y,y,m256		5	
VDIVPD	y,y,y	13-14	8	
VDIVPD	y,y,m256		8	
RCPSS RCPPS	v,v	4	1	
RCPSS RCPPS	v,m		1	
				
				
CMPEQPS CMPEQSS CMPLEPS CMPLESS CMPLTPS CMPLTSS CMPNEQPS CMPNEQSS CMPNLEPS CMPNLESS CMPNLTPS CMPNLTSS CMPORDPS CMPORDSS CMPUNORDPS CMPUNORDSS CMPEQPD CMPEQSD CMPLEPD CMPLESD CMPLTPD CMPLTSD CMPNEQPD CMPNEQSD CMPNLEPD CMPNLESD CMPNLTPD CMPNLTSD CMPORDPD CMPORDSD CMPUNORDPD CMPUNORDSD	x,x / v,v,v	4	0.5	
CMPEQPS CMPEQSS CMPLEPS CMPLESS CMPLTPS CMPLTSS CMPNEQPS CMPNEQSS CMPNLEPS CMPNLESS CMPNLTPS CMPNLTSS CMPORDPS CMPORDSS CMPUNORDPS CMPUNORDSS CMPEQPD CMPEQSD CMPLEPD CMPLESD CMPLTPD CMPLTSD CMPNEQPD CMPNEQSD CMPNLEPD CMPNLESD CMPNLTPD CMPNLTSD CMPORDPD CMPORDSD CMPUNORDPD CMPUNORDSD	x,m / v,v,m		0.5	
