AAA	none	8086,NOLONG	AAA 	ASCII Adjust After Addition	AAA.html
ADD	reg64,mem	X64	ADD r64, mem	Add	ADD.html
ADD	reg64,reg64	X64	ADD r64, r64	Add	ADD.html
ADD	rm16,imm8	8086,LOCK	ADD r/m16, imm8	Add	ADD.html
ADD	rm32,imm8	386,LOCK	ADD r/m32, imm8	Add	ADD.html
ADD	rm64,imm8	X64,LOCK	ADD r/m64, imm8	Add	ADD.html
ADD	reg_al,imm	8086	ADD AL, imm	Add	ADD.html
ADD	reg_ax,imm	8086	ADD AX, imm	Add	ADD.html
ADD	reg_eax,imm	386	ADD EAX, imm	Add	ADD.html
ADD	reg_rax,imm	X64	ADD RAX, imm	Add	ADD.html
ADD	rm8,imm	8086,LOCK	ADD r/m8, imm	Add	ADD.html
ADD	rm16,imm	8086,LOCK	ADD r/m16, imm	Add	ADD.html
ADD	rm32,imm	386,LOCK	ADD r/m32, imm	Add	ADD.html
ADD	rm64,imm	X64,LOCK	ADD r/m64, imm	Add	ADD.html
ADD	mem,imm8	8086,LOCK	ADD mem, imm8	Add	ADD.html
ADD	mem,imm16	8086,LOCK	ADD mem, imm16	Add	ADD.html
ADD	mem,imm32	386,LOCK	ADD mem, imm32	Add	ADD.html
ADD	rm8,imm	8086,LOCK,ND,NOLONG	ADD r/m8, imm	Add	ADD.html
AND	mem,reg8	8086,LOCK	AND mem, r8	Logical AND	AND.html
AND	reg8,reg8	8086	AND r8, r8	Logical AND	AND.html
AND	mem,reg16	8086,LOCK	AND mem, r16	Logical AND	AND.html
AND	reg16,reg16	8086	AND r16, r16	Logical AND	AND.html
AND	mem,reg32	386,LOCK	AND mem, r32	Logical AND	AND.html
AND	reg32,reg32	386	AND r32, r32	Logical AND	AND.html
AND	mem,reg64	X64,LOCK	AND mem, r64	Logical AND	AND.html
AND	reg64,reg64	X64	AND r64, r64	Logical AND	AND.html
AND	reg8,mem	8086	AND r8, mem	Logical AND	AND.html
AND	reg8,reg8	8086	AND r8, r8	Logical AND	AND.html
AND	reg16,mem	8086	AND r16, mem	Logical AND	AND.html
AND	reg16,reg16	8086	AND r16, r16	Logical AND	AND.html
AND	reg32,mem	386	AND r32, mem	Logical AND	AND.html
AND	reg32,reg32	386	AND r32, r32	Logical AND	AND.html
AND	reg64,mem	X64	AND r64, mem	Logical AND	AND.html
AND	reg64,reg64	X64	AND r64, r64	Logical AND	AND.html
AND	rm16,imm8	8086,LOCK	AND r/m16, imm8	Logical AND	AND.html
AND	rm32,imm8	386,LOCK	AND r/m32, imm8	Logical AND	AND.html
AND	rm64,imm8	X64,LOCK	AND r/m64, imm8	Logical AND	AND.html
AND	reg_al,imm	8086	AND AL, imm	Logical AND	AND.html
AND	reg_ax,imm	8086	AND AX, imm	Logical AND	AND.html
AND	reg_eax,imm	386	AND EAX, imm	Logical AND	AND.html
AND	reg_rax,imm	X64	AND RAX, imm	Logical AND	AND.html
AND	rm8,imm	8086,LOCK	AND r/m8, imm	Logical AND	AND.html
AND	rm16,imm	8086,LOCK	AND r/m16, imm	Logical AND	AND.html
AND	rm32,imm	386,LOCK	AND r/m32, imm	Logical AND	AND.html
AND	rm64,imm	X64,LOCK	AND r/m64, imm	Logical AND	AND.html
AND	mem,imm8	8086,LOCK	AND mem, imm8	Logical AND	AND.html
AND	mem,imm16	8086,LOCK	AND mem, imm16	Logical AND	AND.html
AND	mem,imm32	386,LOCK	AND mem, imm32	Logical AND	AND.html
AND	rm8,imm	8086,LOCK,ND,NOLONG	AND r/m8, imm	Logical AND	AND.html
ARPL	mem,reg16	286,PROT,NOLONG	ARPL mem, r16	Adjust RPL Field of Segment Selector	ARPL.html
ARPL	reg16,reg16	286,PROT,NOLONG	ARPL r16, r16	Adjust RPL Field of Segment Selector	ARPL.html
BB0_RESET	none	PENT,CYRIX,ND	BB0_RESET 	TODO: PENT,CYRIX,ND	
BB1_RESET	none	PENT,CYRIX,ND	BB1_RESET 	TODO: PENT,CYRIX,ND	
BOUND	reg16,mem	186,NOLONG	BOUND r16, mem	Check Array Index Against Bounds	BOUND.html
BOUND	reg32,mem	386,NOLONG	BOUND r32, mem	Check Array Index Against Bounds	BOUND.html
BSF	reg16,mem	386	BSF r16, mem	Bit Scan Forward	BSF.html
BSF	reg16,reg16	386	BSF r16, r16	Bit Scan Forward	BSF.html
BSF	reg32,mem	386	BSF r32, mem	Bit Scan Forward	BSF.html
BSF	reg32,reg32	386	BSF r32, r32	Bit Scan Forward	BSF.html
BSF	reg64,mem	X64	BSF r64, mem	Bit Scan Forward	BSF.html
BSF	reg64,reg64	X64	BSF r64, r64	Bit Scan Forward	BSF.html
BSR	reg16,mem	386	BSR r16, mem	Bit Scan Reverse	BSR.html
BSR	reg16,reg16	386	BSR r16, r16	Bit Scan Reverse	BSR.html
BSR	reg32,mem	386	BSR r32, mem	Bit Scan Reverse	BSR.html
BSR	reg32,reg32	386	BSR r32, r32	Bit Scan Reverse	BSR.html
BSR	reg64,mem	X64	BSR r64, mem	Bit Scan Reverse	BSR.html
BSR	reg64,reg64	X64	BSR r64, r64	Bit Scan Reverse	BSR.html
BSWAP	reg32	486	BSWAP r32	Byte Swap	BSWAP.html
BSWAP	reg64	X64	BSWAP r64	Byte Swap	BSWAP.html
BT	mem,reg16	386	BT mem, r16	Bit Test	BT.html
BT	reg16,reg16	386	BT r16, r16	Bit Test	BT.html
BT	mem,reg32	386	BT mem, r32	Bit Test	BT.html
BT	reg32,reg32	386	BT r32, r32	Bit Test	BT.html
BT	mem,reg64	X64	BT mem, r64	Bit Test	BT.html
BT	reg64,reg64	X64	BT r64, r64	Bit Test	BT.html
BT	rm16,imm	386	BT r/m16, imm	Bit Test	BT.html
BT	rm32,imm	386	BT r/m32, imm	Bit Test	BT.html
BT	rm64,imm	X64	BT r/m64, imm	Bit Test	BT.html
BTC	mem,reg16	386,LOCK	BTC mem, r16	Bit Test and Complement	BTC.html
BTC	reg16,reg16	386	BTC r16, r16	Bit Test and Complement	BTC.html
BTC	mem,reg32	386,LOCK	BTC mem, r32	Bit Test and Complement	BTC.html
BTC	reg32,reg32	386	BTC r32, r32	Bit Test and Complement	BTC.html
BTC	mem,reg64	X64,LOCK	BTC mem, r64	Bit Test and Complement	BTC.html
BTC	reg64,reg64	X64	BTC r64, r64	Bit Test and Complement	BTC.html
BTC	rm16,imm	386,LOCK	BTC r/m16, imm	Bit Test and Complement	BTC.html
BTC	rm32,imm	386,LOCK	BTC r/m32, imm	Bit Test and Complement	BTC.html
BTC	rm64,imm	X64,LOCK	BTC r/m64, imm	Bit Test and Complement	BTC.html
BTR	mem,reg16	386,LOCK	BTR mem, r16	Bit Test and Reset	BTR.html
BTR	reg16,reg16	386	BTR r16, r16	Bit Test and Reset	BTR.html
BTR	mem,reg32	386,LOCK	BTR mem, r32	Bit Test and Reset	BTR.html
BTR	reg32,reg32	386	BTR r32, r32	Bit Test and Reset	BTR.html
BTR	mem,reg64	X64,LOCK	BTR mem, r64	Bit Test and Reset	BTR.html
BTR	reg64,reg64	X64	BTR r64, r64	Bit Test and Reset	BTR.html
BTR	rm16,imm	386,LOCK	BTR r/m16, imm	Bit Test and Reset	BTR.html
BTR	rm32,imm	386,LOCK	BTR r/m32, imm	Bit Test and Reset	BTR.html
BTR	rm64,imm	X64,LOCK	BTR r/m64, imm	Bit Test and Reset	BTR.html
BTS	mem,reg16	386,LOCK	BTS mem, r16	Bit Test and Set	BTS.html
BTS	reg16,reg16	386	BTS r16, r16	Bit Test and Set	BTS.html
BTS	mem,reg32	386,LOCK	BTS mem, r32	Bit Test and Set	BTS.html
BTS	reg32,reg32	386	BTS r32, r32	Bit Test and Set	BTS.html
BTS	mem,reg64	X64,LOCK	BTS mem, r64	Bit Test and Set	BTS.html
BTS	reg64,reg64	X64	BTS r64, r64	Bit Test and Set	BTS.html
BTS	rm16,imm	386,LOCK	BTS r/m16, imm	Bit Test and Set	BTS.html
BTS	rm32,imm	386,LOCK	BTS r/m32, imm	Bit Test and Set	BTS.html
BTS	rm64,imm	X64,LOCK	BTS r/m64, imm	Bit Test and Set	BTS.html
CALL	imm	8086,BND	CALL imm	Call Procedure	CALL.html
CALL	imm|near	8086,ND,BND	CALL imm|near	Call Procedure	CALL.html
CALL	imm|far	8086,ND,NOLONG	CALL imm|far	Call Procedure	CALL.html
CALL	imm16	8086,NOLONG,BND	CALL imm16	Call Procedure	CALL.html
CALL	imm16|near	8086,ND,NOLONG,BND	CALL imm16|near	Call Procedure	CALL.html
CALL	imm16|far	8086,ND,NOLONG	CALL imm16|far	Call Procedure	CALL.html
CALL	imm32	386,NOLONG,BND	CALL imm32	Call Procedure	CALL.html
CALL	imm32|near	386,ND,NOLONG,BND	CALL imm32|near	Call Procedure	CALL.html
CALL	imm32|far	386,ND,NOLONG	CALL imm32|far	Call Procedure	CALL.html
CALL	imm64	X64,BND	CALL imm64	Call Procedure	CALL.html
CALL	imm64|near	X64,ND,BND	CALL imm64|near	Call Procedure	CALL.html
CALL	imm:imm	8086,NOLONG	CALL imm:imm	Call Procedure	CALL.html
CALL	imm16:imm	8086,NOLONG	CALL imm16:imm	Call Procedure	CALL.html
CALL	imm:imm16	8086,NOLONG	CALL imm:imm16	Call Procedure	CALL.html
CALL	imm32:imm	386,NOLONG	CALL imm32:imm	Call Procedure	CALL.html
CALL	imm:imm32	386,NOLONG	CALL imm:imm32	Call Procedure	CALL.html
CALL	mem|far	8086,NOLONG	CALL mem|far	Call Procedure	CALL.html
CALL	mem|far	X64	CALL mem|far	Call Procedure	CALL.html
CALL	mem16|far	8086	CALL mem16|far	Call Procedure	CALL.html
CALL	mem32|far	386	CALL mem32|far	Call Procedure	CALL.html
CALL	mem64|far	X64	CALL mem64|far	Call Procedure	CALL.html
CALL	mem|near	8086,ND,BND	CALL mem|near	Call Procedure	CALL.html
CALL	rm16|near	8086,NOLONG,ND,BND	CALL r/m16|near	Call Procedure	CALL.html
CALL	rm32|near	386,NOLONG,ND,BND	CALL r/m32|near	Call Procedure	CALL.html
CALL	rm64|near	X64,ND,BND	CALL r/m64|near	Call Procedure	CALL.html
CALL	mem	8086,BND	CALL mem	Call Procedure	CALL.html
CALL	rm16	8086,NOLONG,BND	CALL r/m16	Call Procedure	CALL.html
CALL	rm32	386,NOLONG,BND	CALL r/m32	Call Procedure	CALL.html
CALL	rm64	X64,BND	CALL r/m64	Call Procedure	CALL.html
CBW	none	8086	CBW 	Convert Byte to Word	CBW:CWDE:CDQE.html
CDQ	none	386	CDQ 	Convert Word to Doubleword/Convert Doubleword to Quadword	CWD:CDQ:CQO.html
CDQE	none	X64	CDQE 	Convert Doubleword to Quadword	CBW:CWDE:CDQE.html
CLC	none	8086	CLC 	Clear Carry Flag	CLC.html
CLD	none	8086	CLD 	Clear Direction Flag	CLD.html
CLI	none	8086	CLI 	Clear Interrupt Flag	CLI.html
CLTS	none	286,PRIV	CLTS 	Clear Task-Switched Flag in CR0	CLTS.html
CMC	none	8086	CMC 	Complement Carry Flag	CMC.html
CMP	mem,reg8	8086	CMP mem, r8	Compare Two Operands	CMP.html
CMP	reg8,reg8	8086	CMP r8, r8	Compare Two Operands	CMP.html
CMP	mem,reg16	8086	CMP mem, r16	Compare Two Operands	CMP.html
CMP	reg16,reg16	8086	CMP r16, r16	Compare Two Operands	CMP.html
CMP	mem,reg32	386	CMP mem, r32	Compare Two Operands	CMP.html
CMP	reg32,reg32	386	CMP r32, r32	Compare Two Operands	CMP.html
CMP	mem,reg64	X64	CMP mem, r64	Compare Two Operands	CMP.html
CMP	reg64,reg64	X64	CMP r64, r64	Compare Two Operands	CMP.html
CMP	reg8,mem	8086	CMP r8, mem	Compare Two Operands	CMP.html
CMP	reg8,reg8	8086	CMP r8, r8	Compare Two Operands	CMP.html
CMP	reg16,mem	8086	CMP r16, mem	Compare Two Operands	CMP.html
CMP	reg16,reg16	8086	CMP r16, r16	Compare Two Operands	CMP.html
CMP	reg32,mem	386	CMP r32, mem	Compare Two Operands	CMP.html
CMP	reg32,reg32	386	CMP r32, r32	Compare Two Operands	CMP.html
CMP	reg64,mem	X64	CMP r64, mem	Compare Two Operands	CMP.html
CMP	reg64,reg64	X64	CMP r64, r64	Compare Two Operands	CMP.html
CMP	rm16,imm8	8086	CMP r/m16, imm8	Compare Two Operands	CMP.html
CMP	rm32,imm8	386	CMP r/m32, imm8	Compare Two Operands	CMP.html
CMP	rm64,imm8	X64	CMP r/m64, imm8	Compare Two Operands	CMP.html
CMP	reg_al,imm	8086	CMP AL, imm	Compare Two Operands	CMP.html
CMP	reg_ax,imm	8086	CMP AX, imm	Compare Two Operands	CMP.html
CMP	reg_eax,imm	386	CMP EAX, imm	Compare Two Operands	CMP.html
CMP	reg_rax,imm	X64	CMP RAX, imm	Compare Two Operands	CMP.html
CMP	rm8,imm	8086	CMP r/m8, imm	Compare Two Operands	CMP.html
CMP	rm16,imm	8086	CMP r/m16, imm	Compare Two Operands	CMP.html
CMP	rm32,imm	386	CMP r/m32, imm	Compare Two Operands	CMP.html
CMP	rm64,imm	X64	CMP r/m64, imm	Compare Two Operands	CMP.html
CMP	mem,imm8	8086	CMP mem, imm8	Compare Two Operands	CMP.html
CMP	mem,imm16	8086	CMP mem, imm16	Compare Two Operands	CMP.html
CMP	mem,imm32	386	CMP mem, imm32	Compare Two Operands	CMP.html
CMP	rm8,imm	8086,ND,NOLONG	CMP r/m8, imm	Compare Two Operands	CMP.html
CMPSB	none	8086	CMPSB 	Compare String Operands	CMPS:CMPSB:CMPSW:CMPSD:CMPSQ.html
CMPSD	none	386	CMPSD 	Compare String Operands	CMPSD.html
CMPSD	xmmreg,xmmrm128,imm8	WILLAMETTE,SSE2	CMPSD xmm, xmm/m128, imm8	Compare String Operands	CMPSD.html
CMPSQ	none	X64	CMPSQ 	Compare String Operands	CMPS:CMPSB:CMPSW:CMPSD:CMPSQ.html
CMPSW	none	8086	CMPSW 	Compare String Operands	CMPS:CMPSB:CMPSW:CMPSD:CMPSQ.html
CMPXCHG	mem,reg8	PENT,LOCK	CMPXCHG mem, r8	TODO: PENT,LOCK,X64	
CMPXCHG	reg8,reg8	PENT	CMPXCHG r8, r8	TODO: PENT,LOCK,X64	
CMPXCHG	mem,reg16	PENT,LOCK	CMPXCHG mem, r16	TODO: PENT,LOCK,X64	
CMPXCHG	reg16,reg16	PENT	CMPXCHG r16, r16	TODO: PENT,LOCK,X64	
CMPXCHG	mem,reg32	PENT,LOCK	CMPXCHG mem, r32	TODO: PENT,LOCK,X64	
CMPXCHG	reg32,reg32	PENT	CMPXCHG r32, r32	TODO: PENT,LOCK,X64	
CMPXCHG	mem,reg64	X64,LOCK	CMPXCHG mem, r64	TODO: PENT,LOCK,X64	
CMPXCHG	reg64,reg64	X64	CMPXCHG r64, r64	TODO: PENT,LOCK,X64	
CMPXCHG486	mem,reg8	486,UNDOC,ND,LOCK	CMPXCHG486 mem, r8	TODO: 486,UNDOC,ND,LOCK	
CMPXCHG486	reg8,reg8	486,UNDOC,ND	CMPXCHG486 r8, r8	TODO: 486,UNDOC,ND,LOCK	
CMPXCHG486	mem,reg16	486,UNDOC,ND,LOCK	CMPXCHG486 mem, r16	TODO: 486,UNDOC,ND,LOCK	
CMPXCHG486	reg16,reg16	486,UNDOC,ND	CMPXCHG486 r16, r16	TODO: 486,UNDOC,ND,LOCK	
CMPXCHG486	mem,reg32	486,UNDOC,ND,LOCK	CMPXCHG486 mem, r32	TODO: 486,UNDOC,ND,LOCK	
CMPXCHG486	reg32,reg32	486,UNDOC,ND	CMPXCHG486 r32, r32	TODO: 486,UNDOC,ND,LOCK	
CMPXCHG8B	mem	PENT,LOCK	CMPXCHG8B mem	Compare EDX:EAX with m64. If equal, set ZF and load ECX:EBX into m64. Else, clear ZF and load m64 into EDX:EAX	CMPXCHG8B:CMPXCHG16B.html
CMPXCHG16B	mem	X64,LOCK	CMPXCHG16B mem	Compare RDX:RAX with m128. If equal, set ZF and load RCX:RBX into m128. Else, clear ZF and load m128 into RDX:RAX	CMPXCHG8B:CMPXCHG16B.html
CPUID	none	PENT	CPUID 	CPU Identification	CPUID.html
CPU_READ	none	PENT,CYRIX	CPU_READ 	TODO: PENT,CYRIX	
CPU_WRITE	none	PENT,CYRIX	CPU_WRITE 	TODO: PENT,CYRIX	
CQO	none	X64	CQO 	Convert Word to Doubleword/Convert Doubleword to Quadword	CWD:CDQ:CQO.html
CWD	none	8086	CWD 	Convert Word to Doubleword/Convert Doubleword to Quadword	CWD:CDQ:CQO.html
CWDE	none	386	CWDE 	Convert Word to Doubleword	CBW:CWDE:CDQE.html
DAA	none	8086,NOLONG	DAA 	Decimal Adjust AL after Addition	DAA.html
DAS	none	8086,NOLONG	DAS 	Decimal Adjust AL after Subtraction	DAS.html
DEC	reg16	8086,NOLONG	DEC r16	Decrement by 1	DEC.html
DEC	reg32	386,NOLONG	DEC r32	Decrement by 1	DEC.html
DEC	rm8	8086,LOCK	DEC r/m8	Decrement by 1	DEC.html
DEC	rm16	8086,LOCK	DEC r/m16	Decrement by 1	DEC.html
DEC	rm32	386,LOCK	DEC r/m32	Decrement by 1	DEC.html
DEC	rm64	X64,LOCK	DEC r/m64	Decrement by 1	DEC.html
DIV	rm8	8086	DIV r/m8	Unsigned Divide	DIV.html
DIV	rm16	8086	DIV r/m16	Unsigned Divide	DIV.html
DIV	rm32	386	DIV r/m32	Unsigned Divide	DIV.html
DIV	rm64	X64	DIV r/m64	Unsigned Divide	DIV.html
DMINT	none	P6,CYRIX	DMINT 	TODO: P6,CYRIX	
EMMS	none	PENT,MMX	EMMS 	Empty MMX Technology State	EMMS.html
ENTER	imm,imm	186	ENTER imm, imm	Make Stack Frame for Procedure Parameters	ENTER.html
EQU	imm	8086	EQU imm	MASM: The first directive assigns numeric value of expression to name.	
EQU	imm:imm	8086	EQU imm:imm	MASM: The first directive assigns numeric value of expression to name.	
F2XM1	none	8086,FPU	F2XM1 	Compute 2x–1	F2XM1.html
FABS	none	8086,FPU	FABS 	Absolute Value	FABS.html
FADD	mem32	8086,FPU	FADD mem32	Add	FADD:FADDP:FIADD.html
FADD	mem64	8086,FPU	FADD mem64	Add	FADD:FADDP:FIADD.html
FADD	fpureg|to	8086,FPU	FADD fpureg|to	Add	FADD:FADDP:FIADD.html
FADD	fpureg	8086,FPU	FADD fpureg	Add	FADD:FADDP:FIADD.html
FADD	fpureg,fpu0	8086,FPU	FADD fpureg, FPU0	Add	FADD:FADDP:FIADD.html
FADD	fpu0,fpureg	8086,FPU	FADD FPU0, fpureg	Add	FADD:FADDP:FIADD.html
FADD	none	8086,FPU,ND	FADD 	Add	FADD:FADDP:FIADD.html
FADDP	fpureg	8086,FPU	FADDP fpureg	Add	FADD:FADDP:FIADD.html
FADDP	fpureg,fpu0	8086,FPU	FADDP fpureg, FPU0	Add	FADD:FADDP:FIADD.html
FADDP	none	8086,FPU,ND	FADDP 	Add	FADD:FADDP:FIADD.html
FBLD	mem80	8086,FPU	FBLD mem80	Load Binary Coded Decimal	FBLD.html
FBLD	mem	8086,FPU	FBLD mem	Load Binary Coded Decimal	FBLD.html
FBSTP	mem80	8086,FPU	FBSTP mem80	Store BCD Integer and Pop	FBSTP.html
FBSTP	mem	8086,FPU	FBSTP mem	Store BCD Integer and Pop	FBSTP.html
FCHS	none	8086,FPU	FCHS 	Change Sign	FCHS.html
FCLEX	none	8086,FPU	FCLEX 	Clear Exceptions	FCLEX:FNCLEX.html
FCMOVB	fpureg	P6,FPU	FCMOVB fpureg	Move Floating-Point if below (CF=1)	FCMOVcc.html
FCMOVB	fpu0,fpureg	P6,FPU	FCMOVB FPU0, fpureg	Move Floating-Point if below (CF=1)	FCMOVcc.html
FCMOVB	none	P6,FPU,ND	FCMOVB 	Move Floating-Point if below (CF=1)	FCMOVcc.html
FCMOVBE	fpureg	P6,FPU	FCMOVBE fpureg	Move Floating-Point if below or equal (CF=1 OR ZF=1)	FCMOVcc.html
FCMOVBE	fpu0,fpureg	P6,FPU	FCMOVBE FPU0, fpureg	Move Floating-Point if below or equal (CF=1 OR ZF=1)	FCMOVcc.html
FCMOVBE	none	P6,FPU,ND	FCMOVBE 	Move Floating-Point if below or equal (CF=1 OR ZF=1)	FCMOVcc.html
FCMOVE	fpureg	P6,FPU	FCMOVE fpureg	Move Floating-Point if equal (ZF=1)	FCMOVcc.html
FCMOVE	fpu0,fpureg	P6,FPU	FCMOVE FPU0, fpureg	Move Floating-Point if equal (ZF=1)	FCMOVcc.html
FCMOVE	none	P6,FPU,ND	FCMOVE 	Move Floating-Point if equal (ZF=1)	FCMOVcc.html
FCMOVNB	fpureg	P6,FPU	FCMOVNB fpureg	Move Floating-Point if not below (CF=0)	FCMOVcc.html
FCMOVNB	fpu0,fpureg	P6,FPU	FCMOVNB FPU0, fpureg	Move Floating-Point if not below (CF=0)	FCMOVcc.html
FCMOVNB	none	P6,FPU,ND	FCMOVNB 	Move Floating-Point if not below (CF=0)	FCMOVcc.html
FCMOVNBE	fpureg	P6,FPU	FCMOVNBE fpureg	Move Floating-Point if not below or equal (CF=0 AND ZF=0)	FCMOVcc.html
FCMOVNBE	fpu0,fpureg	P6,FPU	FCMOVNBE FPU0, fpureg	Move Floating-Point if not below or equal (CF=0 AND ZF=0)	FCMOVcc.html
FCMOVNBE	none	P6,FPU,ND	FCMOVNBE 	Move Floating-Point if not below or equal (CF=0 AND ZF=0)	FCMOVcc.html
FCMOVNE	fpureg	P6,FPU	FCMOVNE fpureg	Move Floating-Point if not equal (ZF=0)	FCMOVcc.html
FCMOVNE	fpu0,fpureg	P6,FPU	FCMOVNE FPU0, fpureg	Move Floating-Point if not equal (ZF=0)	FCMOVcc.html
FCMOVNE	none	P6,FPU,ND	FCMOVNE 	Move Floating-Point if not equal (ZF=0)	FCMOVcc.html
FCMOVNU	fpureg	P6,FPU	FCMOVNU fpureg	Move Floating-Point if not unordered (PF=0)	FCMOVcc.html
FCMOVNU	fpu0,fpureg	P6,FPU	FCMOVNU FPU0, fpureg	Move Floating-Point if not unordered (PF=0)	FCMOVcc.html
FCMOVNU	none	P6,FPU,ND	FCMOVNU 	Move Floating-Point if not unordered (PF=0)	FCMOVcc.html
FCMOVU	fpureg	P6,FPU	FCMOVU fpureg	Move Floating-Point if unordered (PF=1)	FCMOVcc.html
FCMOVU	fpu0,fpureg	P6,FPU	FCMOVU FPU0, fpureg	Move Floating-Point if unordered (PF=1)	FCMOVcc.html
FCMOVU	none	P6,FPU,ND	FCMOVU 	Move Floating-Point if unordered (PF=1)	FCMOVcc.html
FCOM	mem32	8086,FPU	FCOM mem32	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOM	mem64	8086,FPU	FCOM mem64	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOM	fpureg	8086,FPU	FCOM fpureg	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOM	fpu0,fpureg	8086,FPU	FCOM FPU0, fpureg	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOM	none	8086,FPU,ND	FCOM 	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOMI	fpureg	P6,FPU	FCOMI fpureg	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FCOMI	fpu0,fpureg	P6,FPU	FCOMI FPU0, fpureg	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FCOMI	none	P6,FPU,ND	FCOMI 	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FCOMIP	fpureg	P6,FPU	FCOMIP fpureg	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
