#iform,regsize,mask,Throughput,Latency
MOVQ_MMXq_MMXq_0F7F,-,no,0.5,1.0
MOVSX_GPRv_GPR8,32,no,0.25,1.0
MOVSX_GPRv_GPR8,64,no,0.25,1.0
MOVSX_GPRv_MEMb,16,no,0.5,
MOVSX_GPRv_MEMb,32,no,0.5,5.0
MOVSX_GPRv_MEMb,64,no,0.5,5.0
MOVSX_GPRv_MEMw,16,no,0.5,
MOVSX_GPRv_MEMw,32,no,0.5,5.0
MOVSX_GPRv_MEMw,64,no,0.5,5.0
MOVZX_GPRv_MEMb,16,no,0.5,
MOVZX_GPRv_MEMb,32,no,0.5,5.0
MOVZX_GPRv_MEMb,64,no,0.5,5.0
MOVZX_GPRv_MEMw,16,no,0.5,
MOVZX_GPRv_MEMw,32,no,0.5,5.0
MOVZX_GPRv_MEMw,64,no,0.5,5.0
MOV_GPR8_GPR8_88,8,no,0.25,1.0
MOV_GPR8_GPR8_8A,8,no,0.25,1.0
MOV_GPR8_MEMb,8,no,0.5,
MOV_GPRv_GPRv_89,16,no,0.25,1.0
MOV_GPRv_GPRv_8B,16,no,0.25,1.0
MOV_GPRv_MEMv,16,no,0.5,
MOV_GPRv_MEMv,32,no,0.5,5.0
MOV_GPRv_MEMv,64,no,0.5,5.0
MULX_VGPR32d_VGPR32d_MEMd,-,no,1.0,
MULX_VGPR32d_VGPR32d_VGPR32d,-,no,1.0,
MULX_VGPR64q_VGPR64q_MEMq,-,no,1.0,9.0
MULX_VGPR64q_VGPR64q_VGPR64q,-,no,1.0,4.0
NEG_GPR8,8,no,0.25,1.0
NEG_GPRv,16,no,0.25,1.0
NEG_GPRv,32,no,0.25,1.0
NEG_GPRv,64,no,0.25,1.0
NOT_GPR8,8,no,0.25,1.0
NOT_GPRv,16,no,0.25,1.0
NOT_GPRv,32,no,0.25,1.0
NOT_GPRv,64,no,0.25,1.0
OR_GPR8_GPR8_08,8,no,0.25,1.0
OR_GPR8_GPR8_0A,8,no,0.25,1.0
OR_GPR8_MEMb,8,no,0.5,6.0
OR_GPRv_GPRv_09,16,no,0.25,1.0
OR_GPRv_GPRv_09,32,no,0.25,1.0
OR_GPRv_GPRv_09,64,no,0.25,1.0
OR_GPRv_GPRv_0B,16,no,0.25,1.0
OR_GPRv_GPRv_0B,32,no,0.25,1.0
OR_GPRv_GPRv_0B,64,no,0.25,1.0
OR_GPRv_MEMv,16,no,0.5,6.0
OR_GPRv_MEMv,32,no,0.5,6.0
OR_GPRv_MEMv,64,no,0.5,6.0
PABSB_MMXq_MMXq,-,no,,1.0
PABSD_MMXq_MMXq,-,no,,1.0
PABSW_MMXq_MMXq,-,no,,1.0
PACKSSDW_MMXq_MEMq,-,no,2.0,
PACKSSDW_MMXq_MMXq,-,no,2.0,
PACKSSWB_MMXq_MEMq,-,no,2.0,
PACKSSWB_MMXq_MMXq,-,no,2.0,
PACKUSWB_MMXq_MEMq,-,no,2.0,
PACKUSWB_MMXq_MMXq,-,no,2.0,
PADDB_MMXq_MEMq,-,no,0.5,
PADDB_MMXq_MMXq,-,no,0.5,1.0
PADDD_MMXq_MEMq,-,no,0.5,
PADDD_MMXq_MMXq,-,no,0.5,1.0
PADDQ_MMXq_MEMq,-,no,0.5,
PADDQ_MMXq_MMXq,-,no,0.5,1.0
PADDSB_MMXq_MEMq,-,no,1.0,
PADDSB_MMXq_MMXq,-,no,1.0,1.0
PADDSW_MMXq_MEMq,-,no,1.0,
PADDSW_MMXq_MMXq,-,no,1.0,1.0
PADDUSB_MMXq_MEMq,-,no,1.0,
PADDUSB_MMXq_MMXq,-,no,1.0,1.0
PADDUSW_MMXq_MEMq,-,no,1.0,
PADDUSW_MMXq_MMXq,-,no,1.0,1.0
PADDW_MMXq_MEMq,-,no,0.5,
PADDW_MMXq_MMXq,-,no,0.5,1.0
PALIGNR_MMXq_MEMq_IMMb,-,no,1.0,
PANDN_MMXq_MEMq,-,no,0.5,
PANDN_MMXq_MMXq,-,no,0.5,1.0
PAND_MMXq_MEMq,-,no,0.5,
PAND_MMXq_MMXq,-,no,0.5,1.0
PAVGB_MMXq_MEMq,-,no,1.0,
PAVGB_MMXq_MMXq,-,no,1.0,1.0
PAVGW_MMXq_MEMq,-,no,1.0,
PAVGW_MMXq_MMXq,-,no,1.0,1.0
PCMPEQB_MMXq_MEMq,-,no,1.0,
PCMPEQB_MMXq_MMXq,-,no,1.0,1.0
PCMPEQD_MMXq_MEMq,-,no,1.0,
PCMPEQD_MMXq_MMXq,-,no,1.0,1.0
PCMPEQW_MMXq_MEMq,-,no,1.0,
PCMPEQW_MMXq_MMXq,-,no,1.0,1.0
PCMPGTB_MMXq_MEMq,-,no,1.0,
PCMPGTB_MMXq_MMXq,-,no,1.0,1.0
PCMPGTD_MMXq_MEMq,-,no,1.0,
PCMPGTD_MMXq_MMXq,-,no,1.0,1.0
PCMPGTW_MMXq_MEMq,-,no,1.0,
PCMPGTW_MMXq_MMXq,-,no,1.0,1.0
PDEP_VGPR32d_VGPR32d_MEMd,-,no,1.0,
PDEP_VGPR32d_VGPR32d_VGPR32d,-,no,1.0,3.0
PDEP_VGPR64q_VGPR64q_MEMq,-,no,1.0,
PDEP_VGPR64q_VGPR64q_VGPR64q,-,no,1.0,3.0
PEXT_VGPR32d_VGPR32d_MEMd,-,no,1.0,
PEXT_VGPR32d_VGPR32d_VGPR32d,-,no,1.0,3.0
PEXT_VGPR64q_VGPR64q_MEMq,-,no,1.0,
PEXT_VGPR64q_VGPR64q_VGPR64q,-,no,1.0,3.0
PHADDD_MMXq_MEMq,-,no,2.0,
PHADDD_MMXq_MMXq,-,no,2.0,3.0
PHADDSW_MMXq_MEMq,-,no,2.0,
PHADDSW_MMXq_MMXq,-,no,2.0,3.0
PHADDW_MMXq_MEMq,-,no,2.0,
PHADDW_MMXq_MMXq,-,no,2.0,3.0
PHSUBD_MMXq_MEMq,-,no,2.0,
PHSUBD_MMXq_MMXq,-,no,2.0,3.0
PHSUBSW_MMXq_MEMq,-,no,2.0,
PHSUBSW_MMXq_MMXq,-,no,2.0,3.0
PHSUBW_MMXq_MEMq,-,no,2.0,
PHSUBW_MMXq_MMXq,-,no,2.0,
PINSRW_MMXq_MEMw_IMMb,-,no,1.0,
PMADDUBSW_MMXq_MEMq,-,no,1.0,
PMADDUBSW_MMXq_MMXq,-,no,1.0,
PMADDWD_MMXq_MEMq,-,no,1.0,
PMADDWD_MMXq_MMXq,-,no,1.0,
PMAXSW_MMXq_MEMq,-,no,1.0,
PMAXSW_MMXq_MMXq,-,no,1.0,1.0
PMAXUB_MMXq_MEMq,-,no,1.0,
PMAXUB_MMXq_MMXq,-,no,1.0,1.0
PMINSW_MMXq_MEMq,-,no,1.0,
PMINSW_MMXq_MMXq,-,no,1.0,
PMINUB_MMXq_MEMq,-,no,1.0,
PMINUB_MMXq_MMXq,-,no,1.0,1.0
PMOVMSKB_GPR32_MMXq,-,no,1.0,
PMULHRSW_MMXq_MEMq,-,no,1.0,
PMULHRSW_MMXq_MMXq,-,no,1.0,
PMULHUW_MMXq_MEMq,-,no,1.0,
PMULHUW_MMXq_MMXq,-,no,1.0,
PMULHW_MMXq_MEMq,-,no,1.0,
PMULHW_MMXq_MMXq,-,no,1.0,
PMULLW_MMXq_MEMq,-,no,1.0,
PMULLW_MMXq_MMXq,-,no,1.0,
PMULUDQ_MMXq_MEMq,-,no,1.0,
PMULUDQ_MMXq_MMXq,-,no,1.0,
POPCNT_GPRv_GPRv,16,no,1.0,
POPCNT_GPRv_GPRv,32,no,1.0,3.0
POPCNT_GPRv_GPRv,64,no,1.0,3.0
POPCNT_GPRv_MEMv,32,no,1.0,8.0
POPCNT_GPRv_MEMv,64,no,1.0,8.0
POR_MMXq_MEMq,-,no,0.5,
POR_MMXq_MMXq,-,no,0.5,1.0
PSADBW_MMXq_MEMq,-,no,1.0,
PSADBW_MMXq_MMXq,-,no,1.0,3.0
PSHUFB_MMXq_MEMq,-,no,1.0,
PSHUFB_MMXq_MMXq,-,no,1.0,
PSHUFW_MMXq_MEMq_IMMb,-,no,1.0,
PSIGNB_MMXq_MMXq,-,no,,1.0
PSIGND_MMXq_MMXq,-,no,,1.0
PSIGNW_MMXq_MMXq,-,no,,1.0
PSLLD_MMXq_MEMq,-,no,1.0,
PSLLD_MMXq_MMXq,-,no,1.0,1.0
PSLLQ_MMXq_MEMq,-,no,1.0,
PSLLQ_MMXq_MMXq,-,no,1.0,1.0
PSLLW_MMXq_MEMq,-,no,1.0,
PSLLW_MMXq_MMXq,-,no,1.0,1.0
PSRAD_MMXq_MEMq,-,no,1.0,
PSRAD_MMXq_MMXq,-,no,1.0,1.0
PSRAW_MMXq_MEMq,-,no,1.0,
PSRAW_MMXq_MMXq,-,no,1.0,1.0
PSRLD_MMXq_MEMq,-,no,1.0,
PSRLD_MMXq_MMXq,-,no,1.0,1.0
PSRLQ_MMXq_MEMq,-,no,1.0,
PSRLQ_MMXq_MMXq,-,no,1.0,1.0
PSRLW_MMXq_MEMq,-,no,1.0,
PSRLW_MMXq_MMXq,-,no,1.0,1.0
PSUBB_MMXq_MEMq,-,no,0.5,
PSUBB_MMXq_MMXq,-,no,0.5,1.0
PSUBD_MMXq_MEMq,-,no,0.5,
PSUBD_MMXq_MMXq,-,no,0.5,1.0
PSUBQ_MMXq_MEMq,-,no,0.5,
PSUBQ_MMXq_MMXq,-,no,0.5,1.0
PSUBSB_MMXq_MEMq,-,no,1.0,
PSUBSB_MMXq_MMXq,-,no,1.0,1.0
PSUBSW_MMXq_MEMq,-,no,1.0,
PSUBSW_MMXq_MMXq,-,no,1.0,1.0
PSUBUSB_MMXq_MEMq,-,no,1.0,
PSUBUSB_MMXq_MMXq,-,no,1.0,1.0
PSUBUSW_MMXq_MEMq,-,no,1.0,
PSUBUSW_MMXq_MMXq,-,no,1.0,1.0
PSUBW_MMXq_MEMq,-,no,0.5,
PSUBW_MMXq_MMXq,-,no,0.5,1.0
PUNPCKHBW_MMXq_MEMq,-,no,1.0,
PUNPCKHBW_MMXq_MMXd,-,no,1.0,1.0
PUNPCKHDQ_MMXq_MEMq,-,no,1.0,
PUNPCKHDQ_MMXq_MMXd,-,no,1.0,1.0
PUNPCKHWD_MMXq_MEMq,-,no,1.0,
PUNPCKHWD_MMXq_MMXd,-,no,1.0,1.0
PUNPCKLBW_MMXq_MEMd,-,no,1.0,
PUNPCKLBW_MMXq_MMXd,-,no,1.0,1.0
PUNPCKLDQ_MMXq_MEMd,-,no,1.0,
PUNPCKLDQ_MMXq_MMXd,-,no,1.0,1.0
PUNPCKLWD_MMXq_MEMd,-,no,1.0,
PUNPCKLWD_MMXq_MMXd,-,no,1.0,1.0
PXOR_MMXq_MEMq,-,no,0.5,
PXOR_MMXq_MMXq,-,no,0.5,1.0
ROL_GPR8_CL,8,no,1.0,
ROL_GPRv_CL,16,no,1.0,
ROL_GPRv_CL,32,no,1.0,
ROL_GPRv_CL,64,no,1.0,
RORX_VGPR32d_MEMd_IMMb,-,no,0.5,6.0
RORX_VGPR64q_MEMq_IMMb,-,no,0.5,6.0
ROR_GPR8_CL,8,no,1.0,
ROR_GPRv_CL,16,no,1.0,
ROR_GPRv_CL,32,no,1.0,
ROR_GPRv_CL,64,no,1.0,
SARX_VGPR32d_MEMd_VGPR32d,-,no,0.5,6.0
SARX_VGPR32d_VGPR32d_VGPR32d,-,no,0.5,1.0
SARX_VGPR64q_MEMq_VGPR64q,-,no,0.5,6.0
SARX_VGPR64q_VGPR64q_VGPR64q,-,no,0.5,1.0
SAR_GPR8_CL,8,no,1.0,
SAR_GPRv_CL,16,no,1.0,
SAR_GPRv_CL,32,no,1.0,
SAR_GPRv_CL,64,no,1.0,
SBB_GPR8_GPR8_18,8,no,,1.0
SBB_GPR8_GPR8_1A,8,no,,1.0
SBB_GPR8_MEMb,8,no,,6.0
SBB_GPRv_GPRv_19,16,no,,1.0
SBB_GPRv_GPRv_19,32,no,,1.0
SBB_GPRv_GPRv_19,64,no,,1.0
SBB_GPRv_GPRv_1B,16,no,,1.0
SBB_GPRv_GPRv_1B,32,no,,1.0
SBB_GPRv_GPRv_1B,64,no,,1.0
SBB_GPRv_MEMv,16,no,,6.0
SBB_GPRv_MEMv,32,no,,6.0
SBB_GPRv_MEMv,64,no,,6.0
SHLX_VGPR32d_MEMd_VGPR32d,-,no,0.5,6.0
SHLX_VGPR32d_VGPR32d_VGPR32d,-,no,0.5,1.0
SHLX_VGPR64q_MEMq_VGPR64q,-,no,,6.0
SHLX_VGPR64q_VGPR64q_VGPR64q,-,no,0.5,1.0
SHL_GPR8_CL_D2r4,8,no,1.0,
SHL_GPR8_CL_D2r6,8,no,1.0,
SHL_GPRv_CL_D3r4,16,no,1.0,
SHL_GPRv_CL_D3r4,32,no,1.0,
SHL_GPRv_CL_D3r4,64,no,1.0,
SHL_GPRv_CL_D3r6,16,no,1.0,
SHL_GPRv_CL_D3r6,32,no,1.0,
SHL_GPRv_CL_D3r6,64,no,1.0,
SHRX_VGPR32d_MEMd_VGPR32d,-,no,,6.0
SHRX_VGPR32d_VGPR32d_VGPR32d,-,no,0.5,1.0
SHRX_VGPR64q_MEMq_VGPR64q,-,no,0.5,6.0
SHRX_VGPR64q_VGPR64q_VGPR64q,-,no,0.5,1.0
SHR_GPR8_CL,8,no,1.0,
SHR_GPRv_CL,16,no,1.0,
SHR_GPRv_CL,32,no,1.0,
SHR_GPRv_CL,64,no,1.0,
SUB_GPR8_GPR8_28,8,no,0.25,1.0
SUB_GPR8_GPR8_2A,8,no,0.25,1.0
SUB_GPR8_MEMb,8,no,0.5,6.0
SUB_GPRv_GPRv_29,16,no,0.25,1.0
SUB_GPRv_GPRv_29,32,no,0.25,1.0
SUB_GPRv_GPRv_29,64,no,0.25,1.0
SUB_GPRv_GPRv_2B,16,no,0.25,1.0
SUB_GPRv_GPRv_2B,32,no,0.25,1.0
SUB_GPRv_GPRv_2B,64,no,0.25,1.0
SUB_GPRv_MEMv,16,no,0.5,6.0
SUB_GPRv_MEMv,32,no,0.5,6.0
SUB_GPRv_MEMv,64,no,0.5,6.0
TZCNT_GPRv_GPRv,16,no,1.0,
TZCNT_GPRv_GPRv,32,no,1.0,3.0
TZCNT_GPRv_GPRv,64,no,1.0,3.0
TZCNT_GPRv_MEMv,32,no,1.0,8.0
TZCNT_GPRv_MEMv,64,no,1.0,8.0
VADDPD_XMMdq_XMMdq_MEMdq,128,no,0.5,10.0
VADDPD_XMMdq_XMMdq_XMMdq,128,no,0.5,
VADDPD_XMMf64_MASKmskw_XMMf64_MEMf64_AVX512,128,no,0.5,10.0
VADDPD_XMMf64_MASKmskw_XMMf64_MEMf64_AVX512,128,yes,0.5,10.0
VADDPD_XMMf64_MASKmskw_XMMf64_XMMf64_AVX512,128,no,0.5,4.0
VADDPD_XMMf64_MASKmskw_XMMf64_XMMf64_AVX512,128,yes,0.5,4.0
VADDPD_YMMf64_MASKmskw_YMMf64_MEMf64_AVX512,256,no,0.5,11.0
VADDPD_YMMf64_MASKmskw_YMMf64_MEMf64_AVX512,256,yes,0.5,11.0
VADDPD_YMMf64_MASKmskw_YMMf64_YMMf64_AVX512,256,no,0.5,4.0
VADDPD_YMMf64_MASKmskw_YMMf64_YMMf64_AVX512,256,yes,0.5,4.0
VADDPD_YMMqq_YMMqq_MEMqq,256,no,0.5,11.0
VADDPD_YMMqq_YMMqq_YMMqq,256,no,0.5,4.0
VADDPD_ZMMf64_MASKmskw_ZMMf64_MEMf64_AVX512,512,no,1.0,11.0
VADDPD_ZMMf64_MASKmskw_ZMMf64_MEMf64_AVX512,512,yes,1.0,11.0
VADDPD_ZMMf64_MASKmskw_ZMMf64_ZMMf64_AVX512,512,no,1.0,4.0
VADDPD_ZMMf64_MASKmskw_ZMMf64_ZMMf64_AVX512,512,yes,1.0,4.0
VADDPS_XMMdq_XMMdq_MEMdq,128,no,0.5,10.0
VADDPS_XMMdq_XMMdq_XMMdq,128,no,0.5,4.0
VADDPS_XMMf32_MASKmskw_XMMf32_MEMf32_AVX512,128,no,0.5,10.0
VADDPS_XMMf32_MASKmskw_XMMf32_MEMf32_AVX512,128,yes,0.5,10.0
VADDPS_XMMf32_MASKmskw_XMMf32_XMMf32_AVX512,128,no,0.5,4.0
VADDPS_XMMf32_MASKmskw_XMMf32_XMMf32_AVX512,128,yes,0.5,4.0
VADDPS_YMMf32_MASKmskw_YMMf32_MEMf32_AVX512,256,no,0.5,11.0
VADDPS_YMMf32_MASKmskw_YMMf32_MEMf32_AVX512,256,yes,0.5,11.0
VADDPS_YMMf32_MASKmskw_YMMf32_YMMf32_AVX512,256,no,0.5,4.0
VADDPS_YMMf32_MASKmskw_YMMf32_YMMf32_AVX512,256,yes,0.5,4.0
VADDPS_YMMqq_YMMqq_MEMqq,256,no,0.5,11.0
VADDPS_YMMqq_YMMqq_YMMqq,256,no,0.5,4.0
VADDPS_ZMMf32_MASKmskw_ZMMf32_MEMf32_AVX512,512,no,1.0,11.0
VADDPS_ZMMf32_MASKmskw_ZMMf32_MEMf32_AVX512,512,yes,1.0,11.0
VADDPS_ZMMf32_MASKmskw_ZMMf32_ZMMf32_AVX512,512,no,1.0,4.0
VADDPS_ZMMf32_MASKmskw_ZMMf32_ZMMf32_AVX512,512,yes,1.0,4.0
VADDSD_XMMdq_XMMdq_MEMq,128,no,0.5,10.0
VADDSD_XMMdq_XMMdq_XMMq,128,no,0.5,4.0
VADDSD_XMMf64_MASKmskw_XMMf64_MEMf64_AVX512,128,no,0.5,10.0
VADDSD_XMMf64_MASKmskw_XMMf64_MEMf64_AVX512,128,yes,0.5,10.0
VADDSD_XMMf64_MASKmskw_XMMf64_XMMf64_AVX512,128,no,0.5,4.0
VADDSD_XMMf64_MASKmskw_XMMf64_XMMf64_AVX512,128,yes,0.5,4.0
VADDSS_XMMdq_XMMdq_MEMd,128,no,0.5,10.0
VADDSS_XMMdq_XMMdq_XMMd,128,no,0.5,4.0
VADDSS_XMMf32_MASKmskw_XMMf32_MEMf32_AVX512,128,no,0.5,10.0
VADDSS_XMMf32_MASKmskw_XMMf32_MEMf32_AVX512,128,yes,0.5,10.0
VADDSS_XMMf32_MASKmskw_XMMf32_XMMf32_AVX512,128,no,0.5,4.0
VADDSS_XMMf32_MASKmskw_XMMf32_XMMf32_AVX512,128,yes,0.5,4.0
VADDSUBPD_XMMdq_XMMdq_MEMdq,128,no,0.5,10.0
VADDSUBPD_XMMdq_XMMdq_XMMdq,128,no,0.5,4.0
VADDSUBPD_YMMqq_YMMqq_MEMqq,256,no,0.5,11.0
VADDSUBPD_YMMqq_YMMqq_YMMqq,256,no,0.5,4.0
VADDSUBPS_XMMdq_XMMdq_MEMdq,128,no,0.5,10.0
VADDSUBPS_XMMdq_XMMdq_XMMdq,128,no,0.5,4.0
VADDSUBPS_YMMqq_YMMqq_MEMqq,256,no,0.5,11.0
VADDSUBPS_YMMqq_YMMqq_YMMqq,256,no,0.5,4.0
VAESDECLAST_XMMdq_XMMdq_MEMdq,128,no,0.5,
VAESDECLAST_XMMdq_XMMdq_XMMdq,128,no,0.5,
VAESDECLAST_XMMu128_XMMu128_MEMu128_AVX512,128,no,0.5,
VAESDECLAST_XMMu128_XMMu128_XMMu128_AVX512,128,no,0.5,
VAESDECLAST_YMMu128_YMMu128_MEMu128,256,no,0.5,
VAESDECLAST_YMMu128_YMMu128_MEMu128_AVX512,256,no,0.5,
VAESDECLAST_YMMu128_YMMu128_YMMu128,256,no,0.5,
VAESDECLAST_YMMu128_YMMu128_YMMu128_AVX512,256,no,0.5,
VAESDECLAST_ZMMu128_ZMMu128_MEMu128_AVX512,512,no,1.0,
VAESDECLAST_ZMMu128_ZMMu128_ZMMu128_AVX512,512,no,1.0,
VAESDEC_XMMdq_XMMdq_MEMdq,128,no,0.5,
VAESDEC_XMMdq_XMMdq_XMMdq,128,no,0.5,
VAESDEC_XMMu128_XMMu128_MEMu128_AVX512,128,no,0.5,
VAESDEC_XMMu128_XMMu128_XMMu128_AVX512,128,no,0.5,
VAESDEC_YMMu128_YMMu128_MEMu128,256,no,0.5,
VAESDEC_YMMu128_YMMu128_MEMu128_AVX512,256,no,0.5,
VAESDEC_YMMu128_YMMu128_YMMu128,256,no,0.5,
VAESDEC_YMMu128_YMMu128_YMMu128_AVX512,256,no,0.5,
VAESDEC_ZMMu128_ZMMu128_MEMu128_AVX512,512,no,1.0,
VAESDEC_ZMMu128_ZMMu128_ZMMu128_AVX512,512,no,1.0,
VAESENCLAST_XMMdq_XMMdq_MEMdq,128,no,0.5,
VAESENCLAST_XMMdq_XMMdq_XMMdq,128,no,0.5,
VAESENCLAST_XMMu128_XMMu128_MEMu128_AVX512,128,no,0.5,
VAESENCLAST_XMMu128_XMMu128_XMMu128_AVX512,128,no,0.5,
VAESENCLAST_YMMu128_YMMu128_MEMu128,256,no,0.5,
