AAA		8086	AAA 	ASCII Adjust After Addition	AAA.html
ADC	R/M8,IMM	8086	ADC r/m8, IMM	Add with Carry	ADC.html
ADD	MEM,R8	8086	ADD MEM, R8	Add	ADD.html
ADD	R8,R8	8086	ADD R8, R8	Add	ADD.html
ADD	MEM,R16	8086	ADD MEM, R16	Add	ADD.html
ADD	R16,R16	8086	ADD R16, R16	Add	ADD.html
ADD	MEM,R32	386	ADD MEM, R32	Add	ADD.html
ADD	R32,R32	386	ADD R32, R32	Add	ADD.html
ADD	MEM,R64	X64	ADD MEM, r64	Add	ADD.html
ADD	R64,R64	X64	ADD r64, r64	Add	ADD.html
ADD	R8,MEM	8086	ADD R8, MEM	Add	ADD.html
ADD	R8,R8	8086	ADD R8, R8	Add	ADD.html
ADD	R16,MEM	8086	ADD R16, MEM	Add	ADD.html
ADD	R16,R16	8086	ADD R16, R16	Add	ADD.html
ADD	R32,MEM	386	ADD R32, MEM	Add	ADD.html
ADD	R32,R32	386	ADD R32, R32	Add	ADD.html
ADD	R64,MEM	X64	ADD r64, MEM	Add	ADD.html
ADD	R64,R64	X64	ADD r64, r64	Add	ADD.html
ADD	R/M16,IMM8	8086	ADD r/m16, IMM8	Add	ADD.html
ADD	R/M32,IMM8	386	ADD R/M32, IMM8	Add	ADD.html
ADD	R/M64,IMM8	X64	ADD r/m64, IMM8	Add	ADD.html
ADD	AL,IMM	8086	ADD AL, IMM	Add	ADD.html
ADD	AX,IMM	8086	ADD AX, IMM	Add	ADD.html
ADD	EAX,IMM	386	ADD EAX, IMM	Add	ADD.html
ADD	RAX,IMM	X64	ADD RAX, IMM	Add	ADD.html
ADD	R/M8,IMM	8086	ADD r/m8, IMM	Add	ADD.html
ADD	R/M16,IMM	8086	ADD r/m16, IMM	Add	ADD.html
ADD	R/M32,IMM	386	ADD R/M32, IMM	Add	ADD.html
ADD	R/M64,IMM	X64	ADD r/m64, IMM	Add	ADD.html
ADD	MEM,IMM8	8086	ADD MEM, IMM8	Add	ADD.html
ADD	MEM,IMM16	8086	ADD MEM, IMM16	Add	ADD.html
ADD	MEM,IMM32	386	ADD MEM, IMM32	Add	ADD.html
ADD	R/M8,IMM	8086	ADD r/m8, IMM	Add	ADD.html
AND	MEM,R8	8086	AND MEM, R8	Logical AND	AND.html
AND	R8,R8	8086	AND R8, R8	Logical AND	AND.html
AND	MEM,R16	8086	AND MEM, R16	Logical AND	AND.html
AND	R16,R16	8086	AND R16, R16	Logical AND	AND.html
AND	MEM,R32	386	AND MEM, R32	Logical AND	AND.html
AND	R32,R32	386	AND R32, R32	Logical AND	AND.html
AND	MEM,R64	X64	AND MEM, r64	Logical AND	AND.html
AND	R64,R64	X64	AND r64, r64	Logical AND	AND.html
AND	R8,MEM	8086	AND R8, MEM	Logical AND	AND.html
AND	R8,R8	8086	AND R8, R8	Logical AND	AND.html
AND	R16,MEM	8086	AND R16, MEM	Logical AND	AND.html
AND	R16,R16	8086	AND R16, R16	Logical AND	AND.html
AND	R32,MEM	386	AND R32, MEM	Logical AND	AND.html
AND	R32,R32	386	AND R32, R32	Logical AND	AND.html
AND	R64,MEM	X64	AND r64, MEM	Logical AND	AND.html
AND	R64,R64	X64	AND r64, r64	Logical AND	AND.html
AND	R/M16,IMM8	8086	AND r/m16, IMM8	Logical AND	AND.html
AND	R/M32,IMM8	386	AND R/M32, IMM8	Logical AND	AND.html
AND	R/M64,IMM8	X64	AND r/m64, IMM8	Logical AND	AND.html
AND	AL,IMM	8086	AND AL, IMM	Logical AND	AND.html
AND	AX,IMM	8086	AND AX, IMM	Logical AND	AND.html
AND	EAX,IMM	386	AND EAX, IMM	Logical AND	AND.html
AND	RAX,IMM	X64	AND RAX, IMM	Logical AND	AND.html
AND	R/M8,IMM	8086	AND r/m8, IMM	Logical AND	AND.html
AND	R/M16,IMM	8086	AND r/m16, IMM	Logical AND	AND.html
AND	R/M32,IMM	386	AND R/M32, IMM	Logical AND	AND.html
AND	R/M64,IMM	X64	AND r/m64, IMM	Logical AND	AND.html
AND	MEM,IMM8	8086	AND MEM, IMM8	Logical AND	AND.html
AND	MEM,IMM16	8086	AND MEM, IMM16	Logical AND	AND.html
AND	MEM,IMM32	386	AND MEM, IMM32	Logical AND	AND.html
AND	R/M8,IMM	8086	AND r/m8, IMM	Logical AND	AND.html
ARPL	MEM,R16	286	ARPL MEM, R16	Adjust RPL Field of Segment Selector	ARPL.html
ARPL	R16,R16	286	ARPL R16, R16	Adjust RPL Field of Segment Selector	ARPL.html
BB0_RESET		PENT,CYRIX	BB0_RESET 	TODO: PENT,CYRIX	
BB1_RESET		PENT,CYRIX	BB1_RESET 	TODO: PENT,CYRIX	
BOUND	R16,MEM	186	BOUND R16, MEM	Check Array Index Against Bounds	BOUND.html
BOUND	R32,MEM	386	BOUND R32, MEM	Check Array Index Against Bounds	BOUND.html
BSF	R16,MEM	386	BSF R16, MEM	Bit Scan Forward	BSF.html
BSF	R16,R16	386	BSF R16, R16	Bit Scan Forward	BSF.html
BSF	R32,MEM	386	BSF R32, MEM	Bit Scan Forward	BSF.html
BSF	R32,R32	386	BSF R32, R32	Bit Scan Forward	BSF.html
BSF	R64,MEM	X64	BSF r64, MEM	Bit Scan Forward	BSF.html
BSF	R64,R64	X64	BSF r64, r64	Bit Scan Forward	BSF.html
BSR	R16,MEM	386	BSR R16, MEM	Bit Scan Reverse	BSR.html
BSR	R16,R16	386	BSR R16, R16	Bit Scan Reverse	BSR.html
BSR	R32,MEM	386	BSR R32, MEM	Bit Scan Reverse	BSR.html
BSR	R32,R32	386	BSR R32, R32	Bit Scan Reverse	BSR.html
BSR	R64,MEM	X64	BSR r64, MEM	Bit Scan Reverse	BSR.html
BSR	R64,R64	X64	BSR r64, r64	Bit Scan Reverse	BSR.html
BSWAP	R32	486	BSWAP R32	Byte Swap	BSWAP.html
BSWAP	R64	X64	BSWAP r64	Byte Swap	BSWAP.html
BT	MEM,R16	386	BT MEM, R16	Bit Test	BT.html
BT	R16,R16	386	BT R16, R16	Bit Test	BT.html
BT	MEM,R32	386	BT MEM, R32	Bit Test	BT.html
BT	R32,R32	386	BT R32, R32	Bit Test	BT.html
BT	MEM,R64	X64	BT MEM, r64	Bit Test	BT.html
BT	R64,R64	X64	BT r64, r64	Bit Test	BT.html
BT	R/M16,IMM	386	BT r/m16, IMM	Bit Test	BT.html
BT	R/M32,IMM	386	BT R/M32, IMM	Bit Test	BT.html
BT	R/M64,IMM	X64	BT r/m64, IMM	Bit Test	BT.html
BTC	MEM,R16	386	BTC MEM, R16	Bit Test and Complement	BTC.html
BTC	R16,R16	386	BTC R16, R16	Bit Test and Complement	BTC.html
BTC	MEM,R32	386	BTC MEM, R32	Bit Test and Complement	BTC.html
BTC	R32,R32	386	BTC R32, R32	Bit Test and Complement	BTC.html
BTC	MEM,R64	X64	BTC MEM, r64	Bit Test and Complement	BTC.html
BTC	R64,R64	X64	BTC r64, r64	Bit Test and Complement	BTC.html
BTC	R/M16,IMM	386	BTC r/m16, IMM	Bit Test and Complement	BTC.html
BTC	R/M32,IMM	386	BTC R/M32, IMM	Bit Test and Complement	BTC.html
BTC	R/M64,IMM	X64	BTC r/m64, IMM	Bit Test and Complement	BTC.html
BTR	MEM,R16	386	BTR MEM, R16	Bit Test and Reset	BTR.html
BTR	R16,R16	386	BTR R16, R16	Bit Test and Reset	BTR.html
BTR	MEM,R32	386	BTR MEM, R32	Bit Test and Reset	BTR.html
BTR	R32,R32	386	BTR R32, R32	Bit Test and Reset	BTR.html
BTR	MEM,R64	X64	BTR MEM, r64	Bit Test and Reset	BTR.html
BTR	R64,R64	X64	BTR r64, r64	Bit Test and Reset	BTR.html
BTR	R/M16,IMM	386	BTR r/m16, IMM	Bit Test and Reset	BTR.html
BTR	R/M32,IMM	386	BTR R/M32, IMM	Bit Test and Reset	BTR.html
BTR	R/M64,IMM	X64	BTR r/m64, IMM	Bit Test and Reset	BTR.html
BTS	MEM,R16	386	BTS MEM, R16	Bit Test and Set	BTS.html
BTS	R16,R16	386	BTS R16, R16	Bit Test and Set	BTS.html
BTS	MEM,R32	386	BTS MEM, R32	Bit Test and Set	BTS.html
BTS	R32,R32	386	BTS R32, R32	Bit Test and Set	BTS.html
BTS	MEM,R64	X64	BTS MEM, r64	Bit Test and Set	BTS.html
BTS	R64,R64	X64	BTS r64, r64	Bit Test and Set	BTS.html
BTS	R/M16,IMM	386	BTS r/m16, IMM	Bit Test and Set	BTS.html
BTS	R/M32,IMM	386	BTS R/M32, IMM	Bit Test and Set	BTS.html
BTS	R/M64,IMM	X64	BTS r/m64, IMM	Bit Test and Set	BTS.html
CALL	IMM	8086,BND	CALL IMM	Call Procedure	CALL.html
CALL	IMM|NEAR	8086,BND	CALL IMM|NEAR	Call Procedure	CALL.html
CALL	IMM|far	8086	CALL IMM|far	Call Procedure	CALL.html
CALL	IMM16	8086,BND	CALL IMM16	Call Procedure	CALL.html
CALL	IMM16|NEAR	8086,BND	CALL IMM16|NEAR	Call Procedure	CALL.html
CALL	IMM16|far	8086	CALL IMM16|far	Call Procedure	CALL.html
CALL	IMM32	386,BND	CALL IMM32	Call Procedure	CALL.html
CALL	IMM32|NEAR	386,BND	CALL IMM32|NEAR	Call Procedure	CALL.html
CALL	IMM32|far	386	CALL IMM32|far	Call Procedure	CALL.html
CALL	IMM64	X64,BND	CALL IMM64	Call Procedure	CALL.html
CALL	IMM64|NEAR	X64,BND	CALL IMM64|NEAR	Call Procedure	CALL.html
CALL	IMM:IMM	8086	CALL IMM:IMM	Call Procedure	CALL.html
CALL	IMM16:IMM	8086	CALL IMM16:IMM	Call Procedure	CALL.html
CALL	IMM:IMM16	8086	CALL IMM:IMM16	Call Procedure	CALL.html
CALL	IMM32:IMM	386	CALL IMM32:IMM	Call Procedure	CALL.html
CALL	IMM:IMM32	386	CALL IMM:IMM32	Call Procedure	CALL.html
CALL	MEM|far	8086	CALL MEM|far	Call Procedure	CALL.html
CALL	MEM|far	X64	CALL MEM|far	Call Procedure	CALL.html
CALL	M16|far	8086	CALL M16|far	Call Procedure	CALL.html
CALL	M32|far	386	CALL M32|far	Call Procedure	CALL.html
CALL	M64|far	X64	CALL M64|far	Call Procedure	CALL.html
CALL	MEM|NEAR	8086,BND	CALL MEM|NEAR	Call Procedure	CALL.html
CALL	R/M16|NEAR	8086,BND	CALL r/m16|NEAR	Call Procedure	CALL.html
CALL	R/M32|NEAR	386,BND	CALL R/M32|NEAR	Call Procedure	CALL.html
CALL	R/M64|NEAR	X64,BND	CALL r/m64|NEAR	Call Procedure	CALL.html
CALL	MEM	8086,BND	CALL MEM	Call Procedure	CALL.html
CALL	R/M16	8086,BND	CALL r/m16	Call Procedure	CALL.html
CALL	R/M32	386,BND	CALL R/M32	Call Procedure	CALL.html
CALL	R/M64	X64,BND	CALL r/m64	Call Procedure	CALL.html
CBW		8086	CBW 	Convert Byte to Word	CBW:CWDE:CDQE.html
CDQ		386	CDQ 	Convert Word to Doubleword/Convert Doubleword to Quadword	CWD:CDQ:CQO.html
CDQE		X64	CDQE 	Convert Doubleword to Quadword	CBW:CWDE:CDQE.html
CLC		8086	CLC 	Clear Carry Flag	CLC.html
CLD		8086	CLD 	Clear Direction Flag	CLD.html
CLI		8086	CLI 	Clear Interrupt Flag	CLI.html
CLTS		286	CLTS 	Clear Task-Switched Flag in CR0	CLTS.html
CMC		8086	CMC 	Complement Carry Flag	CMC.html
CMP	MEM,R8	8086	CMP MEM, R8	Compare Two Operands	CMP.html
CMP	R8,R8	8086	CMP R8, R8	Compare Two Operands	CMP.html
CMP	MEM,R16	8086	CMP MEM, R16	Compare Two Operands	CMP.html
CMP	R16,R16	8086	CMP R16, R16	Compare Two Operands	CMP.html
CMP	MEM,R32	386	CMP MEM, R32	Compare Two Operands	CMP.html
CMP	R32,R32	386	CMP R32, R32	Compare Two Operands	CMP.html
CMP	MEM,R64	X64	CMP MEM, r64	Compare Two Operands	CMP.html
CMP	R64,R64	X64	CMP r64, r64	Compare Two Operands	CMP.html
CMP	R8,MEM	8086	CMP R8, MEM	Compare Two Operands	CMP.html
CMP	R8,R8	8086	CMP R8, R8	Compare Two Operands	CMP.html
CMP	R16,MEM	8086	CMP R16, MEM	Compare Two Operands	CMP.html
CMP	R16,R16	8086	CMP R16, R16	Compare Two Operands	CMP.html
CMP	R32,MEM	386	CMP R32, MEM	Compare Two Operands	CMP.html
CMP	R32,R32	386	CMP R32, R32	Compare Two Operands	CMP.html
CMP	R64,MEM	X64	CMP r64, MEM	Compare Two Operands	CMP.html
CMP	R64,R64	X64	CMP r64, r64	Compare Two Operands	CMP.html
CMP	R/M16,IMM8	8086	CMP r/m16, IMM8	Compare Two Operands	CMP.html
CMP	R/M32,IMM8	386	CMP R/M32, IMM8	Compare Two Operands	CMP.html
CMP	R/M64,IMM8	X64	CMP r/m64, IMM8	Compare Two Operands	CMP.html
CMP	AL,IMM	8086	CMP AL, IMM	Compare Two Operands	CMP.html
CMP	AX,IMM	8086	CMP AX, IMM	Compare Two Operands	CMP.html
CMP	EAX,IMM	386	CMP EAX, IMM	Compare Two Operands	CMP.html
CMP	RAX,IMM	X64	CMP RAX, IMM	Compare Two Operands	CMP.html
CMP	R/M8,IMM	8086	CMP r/m8, IMM	Compare Two Operands	CMP.html
CMP	R/M16,IMM	8086	CMP r/m16, IMM	Compare Two Operands	CMP.html
CMP	R/M32,IMM	386	CMP R/M32, IMM	Compare Two Operands	CMP.html
CMP	R/M64,IMM	X64	CMP r/m64, IMM	Compare Two Operands	CMP.html
CMP	MEM,IMM8	8086	CMP MEM, IMM8	Compare Two Operands	CMP.html
CMP	MEM,IMM16	8086	CMP MEM, IMM16	Compare Two Operands	CMP.html
CMP	MEM,IMM32	386	CMP MEM, IMM32	Compare Two Operands	CMP.html
CMP	R/M8,IMM	8086	CMP r/m8, IMM	Compare Two Operands	CMP.html
CMPSB		8086	CMPSB 	Compare String Operands	CMPS:CMPSB:CMPSW:CMPSD:CMPSQ.html
CMPSD		386	CMPSD 	Compare String Operands	CMPSD.html
CMPSD	XMM,XMM/M128,IMM8	SSE2	CMPSD XMM, XMM/M128, IMM8	Compare String Operands	CMPSD.html
CMPSQ		X64	CMPSQ 	Compare String Operands	CMPS:CMPSB:CMPSW:CMPSD:CMPSQ.html
CMPSW		8086	CMPSW 	Compare String Operands	CMPS:CMPSB:CMPSW:CMPSD:CMPSQ.html
CMPXCHG	MEM,R8	PENT	CMPXCHG MEM, R8	TODO: PENT,X64	
CMPXCHG	R8,R8	PENT	CMPXCHG R8, R8	TODO: PENT,X64	
CMPXCHG	MEM,R16	PENT	CMPXCHG MEM, R16	TODO: PENT,X64	
CMPXCHG	R16,R16	PENT	CMPXCHG R16, R16	TODO: PENT,X64	
CMPXCHG	MEM,R32	PENT	CMPXCHG MEM, R32	TODO: PENT,X64	
CMPXCHG	R32,R32	PENT	CMPXCHG R32, R32	TODO: PENT,X64	
CMPXCHG	MEM,R64	X64	CMPXCHG MEM, r64	TODO: PENT,X64	
CMPXCHG	R64,R64	X64	CMPXCHG r64, r64	TODO: PENT,X64	
CMPXCHG486	MEM,R8	486,UNDOC	CMPXCHG486 MEM, R8	TODO: 486,UNDOC	
CMPXCHG486	R8,R8	486,UNDOC	CMPXCHG486 R8, R8	TODO: 486,UNDOC	
CMPXCHG486	MEM,R16	486,UNDOC	CMPXCHG486 MEM, R16	TODO: 486,UNDOC	
CMPXCHG486	R16,R16	486,UNDOC	CMPXCHG486 R16, R16	TODO: 486,UNDOC	
CMPXCHG486	MEM,R32	486,UNDOC	CMPXCHG486 MEM, R32	TODO: 486,UNDOC	
CMPXCHG486	R32,R32	486,UNDOC	CMPXCHG486 R32, R32	TODO: 486,UNDOC	
CMPXCHG8B	MEM	PENT	CMPXCHG8B MEM	Compare EDX:EAX with m64. If equal, set ZF and load ECX:EBX into m64. Else, clear ZF and load m64 into EDX:EAX	CMPXCHG8B:CMPXCHG16B.html
CMPXCHG16B	MEM	X64	CMPXCHG16B MEM	Compare RDX:RAX with M128. If equal, set ZF and load RCX:RBX into M128. Else, clear ZF and load M128 into RDX:RAX	CMPXCHG8B:CMPXCHG16B.html
CPUID		PENT	CPUID 	CPU Identification	CPUID.html
CPU_READ		PENT,CYRIX	CPU_READ 	TODO: PENT,CYRIX	
CPU_WRITE		PENT,CYRIX	CPU_WRITE 	TODO: PENT,CYRIX	
CQO		X64	CQO 	Convert Word to Doubleword/Convert Doubleword to Quadword	CWD:CDQ:CQO.html
CWD		8086	CWD 	Convert Word to Doubleword/Convert Doubleword to Quadword	CWD:CDQ:CQO.html
CWDE		386	CWDE 	Convert Word to Doubleword	CBW:CWDE:CDQE.html
DAA		8086	DAA 	Decimal Adjust AL after Addition	DAA.html
DAS		8086	DAS 	Decimal Adjust AL after Subtraction	DAS.html
DEC	R16	8086	DEC R16	Decrement by 1	DEC.html
DEC	R32	386	DEC R32	Decrement by 1	DEC.html
DEC	R/M8	8086	DEC r/m8	Decrement by 1	DEC.html
DEC	R/M16	8086	DEC r/m16	Decrement by 1	DEC.html
DEC	R/M32	386	DEC R/M32	Decrement by 1	DEC.html
DEC	R/M64	X64	DEC r/m64	Decrement by 1	DEC.html
DIV	R/M8	8086	DIV r/m8	Unsigned Divide	DIV.html
DIV	R/M16	8086	DIV r/m16	Unsigned Divide	DIV.html
DIV	R/M32	386	DIV R/M32	Unsigned Divide	DIV.html
DIV	R/M64	X64	DIV r/m64	Unsigned Divide	DIV.html
DMINT		P6,CYRIX	DMINT 	TODO: P6,CYRIX	
EMMS		PENT,MM	EMMS 	Empty MM Technology State	EMMS.html
ENTER	IMM,IMM	186	ENTER IMM, IMM	Make Stack Frame for Procedure Parameters	ENTER.html
EQU	IMM	8086	EQU IMM	MASM: The first directive assigns numeric value of expression to name.	
EQU	IMM:IMM	8086	EQU IMM:IMM	MASM: The first directive assigns numeric value of expression to name.	
F2XM1		8086	F2XM1 	Compute 2x–1	F2XM1.html
FABS		8086	FABS 	Absolute Value	FABS.html
FADD	M32	8086	FADD M32	Add	FADD:FADDP:FIADD.html
FADD	M64	8086	FADD M64	Add	FADD:FADDP:FIADD.html
FADD	FPUREG|to	8086	FADD FPUREG|to	Add	FADD:FADDP:FIADD.html
FADD	FPUREG	8086	FADD FPUREG	Add	FADD:FADDP:FIADD.html
FADD	FPUREG0	8086	FADD FPUREG, FPU0	Add	FADD:FADDP:FIADD.html
FADD	FPU0REG	8086	FADD FPU0, FPUREG	Add	FADD:FADDP:FIADD.html
FADD		8086	FADD 	Add	FADD:FADDP:FIADD.html
FADDP	FPUREG	8086	FADDP FPUREG	Add	FADD:FADDP:FIADD.html
FADDP	FPUREG0	8086	FADDP FPUREG, FPU0	Add	FADD:FADDP:FIADD.html
FADDP		8086	FADDP 	Add	FADD:FADDP:FIADD.html
FBLD	M80	8086	FBLD M80	Load Binary Coded Decimal	FBLD.html
FBLD	MEM	8086	FBLD MEM	Load Binary Coded Decimal	FBLD.html
FBSTP	M80	8086	FBSTP M80	Store BCD Integer and Pop	FBSTP.html
FBSTP	MEM	8086	FBSTP MEM	Store BCD Integer and Pop	FBSTP.html
FCHS		8086	FCHS 	Change Sign	FCHS.html
FCLEX		8086	FCLEX 	Clear Exceptions	FCLEX:FNCLEX.html
FCMOVB	FPUREG	P6	FCMOVB FPUREG	Move Floating-Point if below (CF=1)	FCMOVcc.html
FCMOVB	FPU0REG	P6	FCMOVB FPU0, FPUREG	Move Floating-Point if below (CF=1)	FCMOVcc.html
FCMOVB		P6	FCMOVB 	Move Floating-Point if below (CF=1)	FCMOVcc.html
FCMOVBE	FPUREG	P6	FCMOVBE FPUREG	Move Floating-Point if below or equal (CF=1 OR ZF=1)	FCMOVcc.html
FCMOVBE	FPU0REG	P6	FCMOVBE FPU0, FPUREG	Move Floating-Point if below or equal (CF=1 OR ZF=1)	FCMOVcc.html
FCMOVBE		P6	FCMOVBE 	Move Floating-Point if below or equal (CF=1 OR ZF=1)	FCMOVcc.html
FCMOVE	FPUREG	P6	FCMOVE FPUREG	Move Floating-Point if equal (ZF=1)	FCMOVcc.html
FCMOVE	FPU0REG	P6	FCMOVE FPU0, FPUREG	Move Floating-Point if equal (ZF=1)	FCMOVcc.html
FCMOVE		P6	FCMOVE 	Move Floating-Point if equal (ZF=1)	FCMOVcc.html
FCMOVNB	FPUREG	P6	FCMOVNB FPUREG	Move Floating-Point if not below (CF=0)	FCMOVcc.html
FCMOVNB	FPU0REG	P6	FCMOVNB FPU0, FPUREG	Move Floating-Point if not below (CF=0)	FCMOVcc.html
FCMOVNB		P6	FCMOVNB 	Move Floating-Point if not below (CF=0)	FCMOVcc.html
FCMOVNBE	FPUREG	P6	FCMOVNBE FPUREG	Move Floating-Point if not below or equal (CF=0 AND ZF=0)	FCMOVcc.html
FCMOVNBE	FPU0REG	P6	FCMOVNBE FPU0, FPUREG	Move Floating-Point if not below or equal (CF=0 AND ZF=0)	FCMOVcc.html
FCMOVNBE		P6	FCMOVNBE 	Move Floating-Point if not below or equal (CF=0 AND ZF=0)	FCMOVcc.html
FCMOVNE	FPUREG	P6	FCMOVNE FPUREG	Move Floating-Point if not equal (ZF=0)	FCMOVcc.html
FCMOVNE	FPU0REG	P6	FCMOVNE FPU0, FPUREG	Move Floating-Point if not equal (ZF=0)	FCMOVcc.html
FCMOVNE		P6	FCMOVNE 	Move Floating-Point if not equal (ZF=0)	FCMOVcc.html
FCMOVNU	FPUREG	P6	FCMOVNU FPUREG	Move Floating-Point if not unordered (PF=0)	FCMOVcc.html
FCMOVNU	FPU0REG	P6	FCMOVNU FPU0, FPUREG	Move Floating-Point if not unordered (PF=0)	FCMOVcc.html
FCMOVNU		P6	FCMOVNU 	Move Floating-Point if not unordered (PF=0)	FCMOVcc.html
FCMOVU	FPUREG	P6	FCMOVU FPUREG	Move Floating-Point if unordered (PF=1)	FCMOVcc.html
FCMOVU	FPU0REG	P6	FCMOVU FPU0, FPUREG	Move Floating-Point if unordered (PF=1)	FCMOVcc.html
FCMOVU		P6	FCMOVU 	Move Floating-Point if unordered (PF=1)	FCMOVcc.html
FCOM	M32	8086	FCOM M32	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOM	M64	8086	FCOM M64	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOM	FPUREG	8086	FCOM FPUREG	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOM	FPU0REG	8086	FCOM FPU0, FPUREG	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOM		8086	FCOM 	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOMI	FPUREG	P6	FCOMI FPUREG	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FCOMI	FPU0REG	P6	FCOMI FPU0, FPUREG	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FCOMI		P6	FCOMI 	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FCOMIP	FPUREG	P6	FCOMIP FPUREG	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FCOMIP	FPU0REG	P6	FCOMIP FPU0, FPUREG	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FCOMIP		P6	FCOMIP 	Compare Floating Point Values and Set EFLAGS	FCOMI:FCOMIP: FUCOMI:FUCOMIP.html
FCOMP	M32	8086	FCOMP M32	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOMP	M64	8086	FCOMP M64	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOMP	FPUREG	8086	FCOMP FPUREG	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOMP	FPU0REG	8086	FCOMP FPU0, FPUREG	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOMP		8086	FCOMP 	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOMPP		8086	FCOMPP 	Compare Floating Point Values	FCOM:FCOMP:FCOMPP.html
FCOS		386	FCOS 	Cosine	FCOS.html
FDECSTP		8086	FDECSTP 	Decrement Stack-Top Pointer	FDECSTP.html
FDISI		8086	FDISI 	TODO: 8086	
FDIV	M32	8086	FDIV M32	Divide	FDIV:FDIVP:FIDIV.html
FDIV	M64	8086	FDIV M64	Divide	FDIV:FDIVP:FIDIV.html
FDIV	FPUREG|to	8086	FDIV FPUREG|to	Divide	FDIV:FDIVP:FIDIV.html
FDIV	FPUREG	8086	FDIV FPUREG	Divide	FDIV:FDIVP:FIDIV.html
FDIV	FPUREG0	8086	FDIV FPUREG, FPU0	Divide	FDIV:FDIVP:FIDIV.html
FDIV	FPU0REG	8086	FDIV FPU0, FPUREG	Divide	FDIV:FDIVP:FIDIV.html
FDIV		8086	FDIV 	Divide	FDIV:FDIVP:FIDIV.html
FDIVP	FPUREG	8086	FDIVP FPUREG	Divide	FDIV:FDIVP:FIDIV.html
