VPSRAVW/D/Q	VPSRAVW VPSRAVD VPSRAVQ
VPSRLVW/D/Q	VPSRLVW VPSRLVD VPSRLVQ

VPROL/RD/Q	VPROLD VPRORD VPROLQ VPRORQ
VPROL/RVD/Q	VPROLVD VPRORVD VPROLVQ VPRORVQ
VPLZCNTD/Q	VPLZCNTD VPLZCNTQ
VPTERNLOGD/Q	VPTERNLOGD VPTERNLOGQ
VPERMI2PS/PD	VPERMI2PS VPERMI2PD
VPERMT2PS/PD	VPERMT2PS VPERMT2PD
VBLENDMPS/PD	VBLENDMPS VBLENDMPD
VCOMPRESPS/PD	VCOMPRESSPS VCOMPRESSPD
VEXPANDPS/PD	VEXPANDPS VEXPANDPD

VMULPS/D	VMULPS VMULPD
VRCP14SS/PS	VRCP14SS VRCP14PS
VCMPPS/PD	VCMPPS VCMPPD

VRANGESS/SD/PS/PD	VRANGESS VRANGESD VRANGEPS VRANGEPD
VRNDSCALESS/PS/SD/PD	VRNDSCALESS VRNDSCALEPS VRNDSCALESD VRNDSCALEPD
VREDUCESS/PS/SD/PD	VREDUCESS VREDUCEPS VREDUCESD VREDUCEPD
VFIXUPIMMSS/SD	VFIXUPIMMSS VFIXUPIMMSD
VFIXUPIMMPS/PD	VFIXUPIMMPS VFIXUPIMMPD
VFPCLASSSS/SD	VFPCLASSSD VFPCLASSSD
VFPCLASSPS/PD	VFPCLASSPS VFPCLASSPD
VRSQRT14SS/PS	VRSQRT14SS VRSQRT14PS
VGETEXPSS/SD	VGETEXPSS VGETEXPSD
VGETEXPPS/PD	VGETEXPPS VGETEXPPD
VGETMANTSS/SD	VGETMANTSS VGETMANTSD
VGETMANTPS/PD	VGETMANTPS VGETMANTPD
VSCALEFSS/SD/PS/PD	VSCALEFSS VSCALEFSD VSCALEFPS VSCALEFPD
VTESTPS/PD	VTESTPS VTESTPD

KMOVB/W/D/Q	KMOVB KMOVW KMOVD KMOVQ
VPMOVM2B/W	VPMOVM2B VPMOVM2W
VPMOVM2D/Q	VPMOVM2D VPMOVM2Q
VPMOVB/W2M	VPMOVB2M VPMOVW2M
VPMOVD/Q2M	VPMOVD2M VPMOVQ2M
KADDB/W/D/Q	KADDB KADDW KADDD KADDQ
KSHIFTLB/W/D/Q	KSHIFTLB KSHIFTLW KSHIFTLD KSHIFTLQ
KSHIFTRB/W/D/Q	KSHIFTRB KSHIFTRW KSHIFTRD KSHIFTRQ
KANDB/W/D/Q	KANDB KANDW KANDD KANDQ
KANDNB/W/D/Q	KANDNB KANDNW KANDND KANDNQ
KORB/W/D/Q	KORB KORW KORD KORQ
KXORB/W/D/Q	KXORB KXORW KXORD KXORQ
KXNORB/W/D/Q	KXNORB KXNORW KXNORD KXNORQ
KNOTB/W/D/Q	KNOTB KNOTW KNOTD KNOTQ
KTESTB/W/D/Q	KTESTB KTESTW KTESTD KTESTQ
KORTESTB/W/D/Q	KORTESTB KORTESTW KORTESTD KORTESTQ

