;Intel Cannon Lake
;Instruction timings and µop breakdown, generated from uops.info instructions.xml (2026-03-29).
;Columns: Instruction<TAB>operands<TAB>µOps-fused<TAB>µOps-unfused<TAB>ports<TAB>latency<TAB>throughput<TAB>remark
PREFETCHW	M512	1	1	1*p23		0.50	PREFETCH_NOP
VDPPS	XMM, XMM, M128, I8	6	6	3*p01+1*p06+1*p23+1*p5	13	4.00	AVX
VDPPS	YMM, YMM, M256, I8	6	6	3*p01+1*p06+1*p23+1*p5	13	4.00	AVX
VEXTRACTF128	M128, YMM, I8	2	2	1*p23+1*p4	4	1.00	AVX
VEXTRACTPS	M32, XMM, I8	2	3	1*p237+1*p4+1*p5	5	1.00	AVX
VHADDPD	XMM, XMM, M128	4	4	1*p01+1*p23+2*p5	6	2.00	AVX
VHADDPD	YMM, YMM, M256	4	4	1*p01+1*p23+2*p5	6	2.00	AVX
VHADDPS	XMM, XMM, M128	4	4	1*p01+1*p23+2*p5	6	2.00	AVX
VHADDPS	YMM, YMM, M256	4	4	1*p01+1*p23+2*p5	6	2.00	AVX
VHSUBPD	XMM, XMM, M128	4	4	1*p01+1*p23+2*p5	6	2.00	AVX
VHSUBPD	YMM, YMM, M256	4	4	1*p01+1*p23+2*p5	6	2.00	AVX
VHSUBPS	XMM, XMM, M128	4	4	1*p01+1*p23+2*p5	6	2.00	AVX
VHSUBPS	YMM, YMM, M256	4	4	1*p01+1*p23+2*p5	6	2.00	AVX
VINSERTF128	YMM, YMM, M128, I8	2	2	1*p015+1*p23	1	1.00	AVX
VINSERTPS	XMM, XMM, M32, I8	2	2	1*p23+1*p5	1	1.00	AVX
VLDDQU	XMM, M128	1	1	1*p23		0.50	AVX
VLDMXCSR	M32	4	4	1*p0+1*p015+1*p06+1*p23		3.00	AVX
VMASKMOVPD	M128, XMM, XMM	3	3	1*p0+1*p23+1*p4	14	1.00	AVX
VMASKMOVPD	XMM, XMM, M128	2	2	1*p015+1*p23	1	1.00	AVX
VMASKMOVPS	M128, XMM, XMM	3	3	1*p0+1*p23+1*p4	14	1.00	AVX
VMASKMOVPS	XMM, XMM, M128	2	2	1*p015+1*p23	1	1.00	AVX
VMAXPD	XMM, XMM, M128	1	2	1*p01+1*p23	4	0.53	AVX
VMAXPD	YMM, YMM, M256	1	2	1*p01+1*p23	4	0.53	AVX
VMAXPS	XMM, XMM, M128	1	2	1*p01+1*p23	4	0.53	AVX
VMAXPS	YMM, YMM, M256	1	2	1*p01+1*p23	4	0.53	AVX
VMAXSD	XMM, XMM, M64	1	2	1*p01+1*p23	4	0.53	AVX
VMAXSS	XMM, XMM, M32	1	2	1*p01+1*p23	4	0.53	AVX
VMINPD	XMM, XMM, M128	1	2	1*p01+1*p23	4	0.53	AVX
VMINPD	YMM, YMM, M256	1	2	1*p01+1*p23	4	0.53	AVX
VMINPS	XMM, XMM, M128	1	2	1*p01+1*p23	4	0.53	AVX
VMINPS	YMM, YMM, M256	1	2	1*p01+1*p23	4	0.53	AVX
VMINSD	XMM, XMM, M64	1	2	1*p01+1*p23	4	0.53	AVX
VMINSS	XMM, XMM, M32	1	2	1*p01+1*p23	4	0.53	AVX
VMOVAPD	M128, XMM	1	2	1*p237+1*p4	4	1.00	AVX
VMOVAPD	XMM, M128	1	1	1*p23		0.50	AVX
VMOVAPD	XMM, XMM	1	0		0	0.25	AVX
VMOVAPD	XMM, XMM	1	0		0	0.27	AVX
VMOVAPS	M128, XMM	1	2	1*p237+1*p4	4	1.00	AVX
VMOVAPS	XMM, M128	1	1	1*p23		0.50	AVX
VMOVAPS	XMM, XMM	1	0		0	0.25	AVX
VMOVAPS	XMM, XMM	1	0		0	0.27	AVX
VMOVD	M32, XMM	1	2	1*p237+1*p4	4	1.00	AVX
VMOVD	XMM, M32	1	1	1*p23		0.50	AVX
VMOVDDUP	XMM, M64	1	1	1*p23		0.50	AVX
VMOVDDUP	YMM, M256	1	1	1*p23		0.50	AVX
VMOVDQA	M128, XMM	1	2	1*p237+1*p4	4	1.00	AVX
VMOVDQA	XMM, M128	1	1	1*p23		0.50	AVX
VMOVDQA	XMM, XMM	1	0		0	0.25	AVX
VMOVDQU	M128, XMM	1	2	1*p237+1*p4	4	1.00	AVX
VMOVDQU	XMM, M128	1	1	1*p23		0.50	AVX
VMOVDQU	XMM, XMM	1	0		0	0.25	AVX
VMOVHLPS	XMM, XMM, XMM	1	1	1*p5	1	1.00	AVX
VMOVHPD	XMM, XMM, M64	1	2	1*p23+1*p5	1	1.00	AVX
VMOVHPS	XMM, XMM, M64	1	2	1*p23+1*p5	1	1.00	AVX
VMOVLPD	M64, XMM	1	2	1*p237+1*p4	4	1.00	AVX
VMOVLPS	M64, XMM	1	2	1*p237+1*p4	4	1.00	AVX
VMOVMSKPD	R32, XMM	1	1	1*p0	3	1.00	AVX
VMOVMSKPS	R32, XMM	1	1	1*p0	3	1.00	AVX
VMOVNTDQ	M128, XMM	1	2	1*p237+1*p4	372	1.02	AVX
VMOVNTDQA	XMM, M128	2	2	1*p015+1*p23		1.00	AVX
VMOVNTPD	M256, YMM	1	2	1*p237+1*p4	365	1.02	AVX
VMOVNTPS	M256, YMM	1	2	1*p237+1*p4	365	1.02	AVX
VMOVQ	R64, XMM	1	1	1*p0	3	1.00	AVX
VMOVQ	XMM, R64	1	1	1*p5	3	1.00	AVX
VMOVQ	XMM, XMM	1	1	1*p015	1	0.33	AVX
VMOVSD	XMM, M64	1	1	1*p23		0.50	AVX
VMOVSD	XMM, XMM, XMM	1	1	1*p015	1	0.33	AVX
VMOVSHDUP	XMM, XMM	1	1	1*p5	1	1.00	AVX
VMOVSHDUP	YMM, YMM	1	1	1*p5	1	1.00	AVX
VMOVSLDUP	XMM, XMM	1	1	1*p5	1	1.00	AVX
VMOVSLDUP	YMM, YMM	1	1	1*p5	1	1.00	AVX
VMOVSS	XMM, M32	1	1	1*p23		0.50	AVX
VMOVSS	XMM, XMM, XMM	1	1	1*p015	1	0.33	AVX
VMOVUPD	M256, YMM	1	2	1*p237+1*p4	4	1.00	AVX
VMOVUPD	YMM, M256	1	1	1*p23		0.50	AVX
VMOVUPD	YMM, YMM	1	0		0	0.25	AVX
VMOVUPD	YMM, YMM	1	0		0	0.27	AVX
VMOVUPS	M256, YMM	1	2	1*p237+1*p4	4	1.00	AVX
VMOVUPS	YMM, M256	1	1	1*p23		0.50	AVX
VMOVUPS	YMM, YMM	1	0		0	0.25	AVX
VMOVUPS	YMM, YMM	1	0		0	0.27	AVX
VMPSADBW	XMM, XMM, XMM, I8	2	2	2*p5	4	2.00	AVX
VMULPD	XMM, XMM, XMM	1	1	1*p01	4	0.50	AVX
VMULPD	YMM, YMM, YMM	1	1	1*p01	4	0.50	AVX
VMULPS	XMM, XMM, XMM	1	1	1*p01	4	0.50	AVX
VMULPS	YMM, YMM, YMM	1	1	1*p01	4	0.50	AVX
VMULSD	XMM, XMM, XMM	1	1	1*p01	4	0.50	AVX
VMULSS	XMM, XMM, XMM	1	1	1*p01	4	0.50	AVX
VORPD	XMM, XMM, XMM	1	1	1*p015	1	0.33	AVX
VORPD	YMM, YMM, YMM	1	1	1*p015	1	0.33	AVX
VORPS	XMM, XMM, XMM	1	1	1*p015	1	0.33	AVX
VORPS	YMM, YMM, YMM	1	1	1*p015	1	0.33	AVX
VPABSB	XMM, XMM	1	1	1*p01	1	0.50	AVX
VPABSD	XMM, XMM	1	1	1*p01	1	0.50	AVX
VPABSW	XMM, XMM	1	1	1*p01	1	0.50	AVX
VPACKSSDW	XMM, XMM, XMM	1	1	1*p5	1	1.00	AVX
VPACKSSWB	XMM, XMM, XMM	1	1	1*p5	1	1.00	AVX
VPACKUSDW	XMM, XMM, XMM	1	1	1*p5	1	1.00	AVX
VPACKUSWB	XMM, XMM, XMM	1	1	1*p5	1	1.00	AVX
VPADDB	XMM, XMM, XMM	1	1	1*p015	1	0.33	AVX
VPADDD	XMM, XMM, XMM	1	1	1*p015	1	0.33	AVX
VPADDQ	XMM, XMM, XMM	1	1	1*p015	1	0.33	AVX
VPADDSB	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPADDSW	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPADDUSB	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPADDUSW	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPADDW	XMM, XMM, XMM	1	1	1*p015	1	0.33	AVX
VPALIGNR	XMM, XMM, XMM, I8	1	1	1*p5	1	1.00	AVX
VPAND	XMM, XMM, XMM	1	1	1*p015	1	0.33	AVX
VPANDN	XMM, XMM, XMM	1	1	1*p015	1	0.33	AVX
VPAVGB	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPAVGW	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPBLENDVB	XMM, XMM, XMM, XMM	2	2	2*p015	2	1.00	AVX
VPBLENDW	XMM, XMM, XMM, I8	1	1	1*p5	1	1.00	AVX
VPCLMULQDQ	XMM, XMM, XMM, I8	1	1	1*p5	7	1.00	AVX
VPCMPEQB	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPCMPEQD	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPCMPEQQ	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPCMPEQW	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPCMPESTRI	XMM, XMM, I8	8	8	3*p0+2*p015+1*p06+1*p1+1*p5	16	4.00	AVX
VPCMPESTRI64	XMM, XMM, I8	8	8	3*p0+2*p015+1*p06+1*p1+1*p5	16	4.00	AVX
VPCMPESTRM	XMM, XMM, I8	9	9	3*p0+3*p015+1*p06+1*p1+1*p5	16	5.00	AVX
VPCMPESTRM64	XMM, XMM, I8	9	9	3*p0+3*p015+1*p06+1*p1+1*p5	16	5.00	AVX
VPCMPGTB	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPCMPGTD	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPCMPGTQ	XMM, XMM, XMM	1	1	1*p5	3	1.00	AVX
VPCMPGTW	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPCMPISTRI	XMM, XMM, I8	3	3	3*p0	11	3.00	AVX
VPCMPISTRM	XMM, XMM, I8	3	3	3*p0	11	3.00	AVX
VPERM2F128	YMM, YMM, YMM, I8	1	1	1*p5	3	1.00	AVX
VPERMILPD	XMM, XMM, I8	1	1	1*p5	1	1.00	AVX
VPERMILPD	XMM, XMM, XMM	1	1	1*p5	1	1.00	AVX
VPERMILPD	YMM, YMM, I8	1	1	1*p5	1	1.00	AVX
VPERMILPD	YMM, YMM, YMM	1	1	1*p5	1	1.00	AVX
VPERMILPS	XMM, XMM, I8	1	1	1*p5	1	1.00	AVX
VPERMILPS	XMM, XMM, XMM	1	1	1*p5	1	1.00	AVX
VPERMILPS	YMM, YMM, I8	1	1	1*p5	1	1.00	AVX
VPERMILPS	YMM, YMM, YMM	1	1	1*p5	1	1.00	AVX
VPEXTRB	R32, XMM, I8	2	2	1*p0+1*p5	4	1.00	AVX
VPEXTRD	R32, XMM, I8	2	2	1*p0+1*p5	4	1.00	AVX
VPEXTRQ	R64, XMM, I8	2	2	1*p0+1*p5	4	1.00	AVX
VPEXTRW	R32, XMM, I8	2	2	1*p0+1*p5	4	1.00	AVX
VPHADDD	XMM, XMM, XMM	3	3	1*p015+2*p5	3	2.00	AVX
VPHADDSW	XMM, XMM, XMM	3	3	1*p01+2*p5	3	2.00	AVX
VPHADDW	XMM, XMM, XMM	3	3	1*p015+2*p5	3	2.00	AVX
VPHMINPOSUW	XMM, XMM	1	1	1*p0	4	1.00	AVX
VPHSUBD	XMM, XMM, XMM	3	3	1*p015+2*p5	3	2.00	AVX
VPHSUBSW	XMM, XMM, XMM	3	3	1*p01+2*p5	3	2.00	AVX
VPHSUBW	XMM, XMM, XMM	3	3	1*p015+2*p5	3	2.00	AVX
VPINSRB	XMM, XMM, R32, I8	2	2	2*p5	4	2.00	AVX
VPINSRD	XMM, XMM, R32, I8	2	2	2*p5	4	2.00	AVX
VPINSRQ	XMM, XMM, R64, I8	2	2	2*p5	4	2.00	AVX
VPINSRW	XMM, XMM, R32, I8	2	2	2*p5	4	2.00	AVX
VPMADDUBSW	XMM, XMM, XMM	1	1	1*p01	5	0.50	AVX
VPMADDWD	XMM, XMM, XMM	1	1	1*p01	5	0.50	AVX
VPMAXSB	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPMAXSD	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPMAXSW	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPMAXUB	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPMAXUD	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPMAXUW	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPMINSB	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPMINSD	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPMINSW	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPMINUB	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPMINUD	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPMINUW	XMM, XMM, XMM	1	1	1*p01	1	0.50	AVX
VPMOVSXBD	XMM, M32	1	2	1*p23+1*p5		1.00	AVX
VPMOVSXBQ	XMM, M16	1	2	1*p23+1*p5		1.00	AVX
VPMOVSXBW	XMM, M64	1	2	1*p23+1*p5		1.00	AVX
VPMOVSXDQ	XMM, M64	1	2	1*p23+1*p5		1.00	AVX
VPMOVSXWD	XMM, M64	1	2	1*p23+1*p5		1.00	AVX
VPMOVSXWQ	XMM, M32	1	2	1*p23+1*p5		1.00	AVX
VPMOVZXBD	XMM, M32	1	2	1*p23+1*p5		1.00	AVX
VPMOVZXBQ	XMM, M16	1	2	1*p23+1*p5		1.00	AVX
VPMOVZXBW	XMM, M64	1	2	1*p23+1*p5		1.00	AVX
VPMOVZXDQ	XMM, M64	1	2	1*p23+1*p5		1.00	AVX
VPMOVZXWD	XMM, M64	1	2	1*p23+1*p5		1.00	AVX
VPMOVZXWQ	XMM, M32	1	2	1*p23+1*p5		1.00	AVX
VPMULDQ	XMM, XMM, M128	1	2	1*p01+1*p23	5	0.52	AVX
VPMULHRSW	XMM, XMM, M128	1	2	1*p01+1*p23	5	0.53	AVX
VPMULHUW	XMM, XMM, M128	1	2	1*p01+1*p23	5	0.52	AVX
VPMULHW	XMM, XMM, M128	1	2	1*p01+1*p23	5	0.52	AVX
VPMULLD	XMM, XMM, M128	3	3	2*p01+1*p23	10	1.00	AVX
VPMULLW	XMM, XMM, M128	1	2	1*p01+1*p23	5	0.53	AVX
VPMULUDQ	XMM, XMM, M128	1	2	1*p01+1*p23	5	0.53	AVX
VPOR	XMM, XMM, M128	1	2	1*p015+1*p23	1	0.50	AVX
VPSADBW	XMM, XMM, M128	1	2	1*p23+1*p5	3	1.00	AVX
VPSHUFB	XMM, XMM, M128	2	2	1*p23+1*p5	1	1.00	AVX
VPSHUFD	XMM, M128, I8	2	2	1*p23+1*p5		1.00	AVX
VPSHUFHW	XMM, M128, I8	2	2	1*p23+1*p5		1.00	AVX
VPSHUFLW	XMM, M128, I8	2	2	1*p23+1*p5		1.00	AVX
VPSIGNB	XMM, XMM, M128	1	2	1*p01+1*p23	1	0.50	AVX
VPSIGND	XMM, XMM, M128	1	2	1*p01+1*p23	1	0.50	AVX
VPSIGNW	XMM, XMM, M128	1	2	1*p01+1*p23	1	0.50	AVX
VPSLLD	XMM, XMM, I8	1	1	1*p01	1	0.50	AVX
VPSLLD	XMM, XMM, XMM	2	2	1*p01+1*p5	2	1.00	AVX
VPSLLQ	XMM, XMM, I8	1	1	1*p01	1	0.50	AVX
VPSLLQ	XMM, XMM, XMM	2	2	1*p01+1*p5	2	1.00	AVX
VPSLLW	XMM, XMM, M128	2	2	1*p01+1*p23	1	1.00	AVX
VPSRAD	XMM, XMM, I8	1	1	1*p01	1	0.50	AVX
VPSRAD	XMM, XMM, XMM	2	2	1*p01+1*p5	2	1.00	AVX
VPSRAW	XMM, XMM, M128	2	2	1*p01+1*p23	1	1.00	AVX
VPSRLD	XMM, XMM, I8	1	1	1*p01	1	0.50	AVX
VPSRLD	XMM, XMM, XMM	2	2	1*p01+1*p5	2	1.00	AVX
VPSRLQ	XMM, XMM, I8	1	1	1*p01	1	0.50	AVX
VPSRLQ	XMM, XMM, XMM	2	2	1*p01+1*p5	2	1.00	AVX
VPSRLW	XMM, XMM, M128	2	2	1*p01+1*p23	1	1.00	AVX
VPSUBB	XMM, XMM, M128	1	2	1*p015+1*p23	1	0.50	AVX
VPSUBD	XMM, XMM, M128	1	2	1*p015+1*p23	1	0.50	AVX
VPSUBQ	XMM, XMM, M128	1	2	1*p015+1*p23	1	0.50	AVX
VPSUBSB	XMM, XMM, M128	1	2	1*p01+1*p23	1	0.50	AVX
VPSUBSW	XMM, XMM, M128	1	2	1*p01+1*p23	1	0.50	AVX
VPSUBUSB	XMM, XMM, M128	1	2	1*p01+1*p23	1	0.50	AVX
VPSUBUSW	XMM, XMM, M128	1	2	1*p01+1*p23	1	0.50	AVX
VPSUBW	XMM, XMM, M128	1	2	1*p015+1*p23	1	0.50	AVX
VPTEST	XMM, M128	2	3	1*p0+1*p23+1*p5	4	1.00	AVX
VPTEST	YMM, M256	2	3	1*p0+1*p23+1*p5	6	1.00	AVX
VPUNPCKHBW	XMM, XMM, M128	1	2	1*p23+1*p5	1	1.00	AVX
VPUNPCKHDQ	XMM, XMM, M128	1	2	1*p23+1*p5	1	1.00	AVX
VPUNPCKHQDQ	XMM, XMM, M128	1	2	1*p23+1*p5	1	1.00	AVX
VPUNPCKHWD	XMM, XMM, M128	1	2	1*p23+1*p5	1	1.00	AVX
VPUNPCKLBW	XMM, XMM, M128	1	2	1*p23+1*p5	1	1.00	AVX
VPUNPCKLDQ	XMM, XMM, M128	1	2	1*p23+1*p5	1	1.00	AVX
VPUNPCKLQDQ	XMM, XMM, M128	1	2	1*p23+1*p5	1	1.00	AVX
VPUNPCKLWD	XMM, XMM, M128	1	2	1*p23+1*p5	1	1.00	AVX
VPXOR	XMM, XMM, M128	1	2	1*p015+1*p23	1	0.50	AVX
VRCPPS	XMM, M128	1	2	1*p0+1*p23		1.00	AVX
VRCPPS	YMM, M256	1	2	1*p0+1*p23		1.00	AVX
VRCPSS	XMM, XMM, M32	1	2	1*p0+1*p23	4	1.00	AVX
VROUNDPD	XMM, M128, I8	3	3	2*p01+1*p23		1.00	AVX
VROUNDPD	YMM, M256, I8	3	3	2*p01+1*p23		1.00	AVX
VROUNDPS	XMM, M128, I8	3	3	2*p01+1*p23		1.00	AVX
VROUNDPS	YMM, M256, I8	3	3	2*p01+1*p23		1.00	AVX
VROUNDSD	XMM, XMM, M64, I8	3	3	2*p01+1*p23	8	1.00	AVX
VROUNDSS	XMM, XMM, M32, I8	3	3	2*p01+1*p23	8	1.00	AVX
VRSQRTPS	XMM, M128	1	2	1*p0+1*p23		1.00	AVX
VRSQRTPS	YMM, M256	1	2	1*p0+1*p23		1.00	AVX
VRSQRTSS	XMM, XMM, M32	1	2	1*p0+1*p23		1.00	AVX
VSHUFPD	XMM, XMM, M128, I8	2	2	1*p23+1*p5	1	1.00	AVX
VSHUFPD	YMM, YMM, M256, I8	2	2	1*p23+1*p5	1	1.00	AVX
VSHUFPS	XMM, XMM, M128, I8	2	2	1*p23+1*p5	1	1.00	AVX
VSHUFPS	YMM, YMM, M256, I8	2	2	1*p23+1*p5	1	1.00	AVX
VSQRTPD	XMM, M128	1	2	1*p0+1*p23		4.50	AVX
VSQRTPD	YMM, M256	1	2	1*p0+1*p23		9.00	AVX
VSQRTPS	XMM, M128	1	2	1*p0+1*p23		3.00	AVX
VSQRTPS	YMM, M256	1	2	1*p0+1*p23		6.00	AVX
VSQRTSD	XMM, XMM, M64	1	2	1*p0+1*p23		4.50	AVX
VSQRTSS	XMM, XMM, M32	1	2	1*p0+1*p23		3.00	AVX
VSTMXCSR	M32	3	4	1*p0+1*p06+1*p237+1*p4		1.00	AVX
VSUBPD	XMM, XMM, XMM	1	1	1*p01	4	0.50	AVX
VSUBPD	YMM, YMM, YMM	1	1	1*p01	4	0.50	AVX
VSUBPS	XMM, XMM, XMM	1	1	1*p01	4	0.50	AVX
