;Intel Conroe (Core 2)
;Instruction timings and µop breakdown, generated from uops.info instructions.xml (2026-03-29).
;Columns: Instruction<TAB>operands<TAB>µOps-fused<TAB>µOps-unfused<TAB>ports<TAB>latency<TAB>throughput<TAB>remark
PREFETCHW	M512	1	1	1*p015		3.00	PREFETCH_NOP
ADD	M64, 0	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
ADD	M64, I8	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
ADD	M8, 0	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
ADD	M8, R8h	7	7	1*p015+1*p05+1*p2+2*p3+1*p4	30	20.25	lock I86
ADD	R8l, 0	1	1	1*p015	1	0.33	I86
AND	AL, 0	1	1	1*p015	1	0.67	I86
AND	AX, I16	1	1	1*p015	1	1.75	I86
AND	M16, 0	4	4	1*p015+1*p2+1*p3+1*p4		2.00	I86
AND	M16, I8	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I86
AND	M32, 0	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I86
AND	M32, I8	4	4	1*p015+1*p2+1*p3+1*p4		1.16	I86
AND	M64, 0	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I86
AND	M64, I8	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I86
AND	M8, 0	4	4	1*p015+1*p2+1*p3+1*p4		2.00	I86
AND	M8, R8h	4	4	1*p015+1*p2+1*p3+1*p4	5	2.00	I86
AND	R16, 0	1	1	1*p015	1	0.33	I86
AND	R16, I8	1	1	1*p015	1	0.33	I86
AND	R32, 0	1	1	1*p015	1	0.33	I86
AND	R32, I8	1	1	1*p015	1	0.33	I86
AND	R64, 0	1	1	1*p015	1	0.33	I86
AND	R64, I8	1	1	1*p015	1	0.33	I86
AND	R8h, 0	1	1	1*p015	1	0.33	I86
AND	R8h, M8	2	2	1*p015+1*p2	1	1.00	I86
AND	RAX, I32	1	1	1*p015	1	0.67	I86
AND	R8h, R8l	1	1	1*p015	1	0.33	I86
AND	R8l, R8l	1	1	1*p015	1	0.33	I86
AND	R32, R32	1	1	1*p015	1	0.33	I86
AND	R8h, R8h	1	1	1*p015	1	0.33	I86
AND	R8l, R8h	1	1	1*p015	1	0.42	I86
AND	R16, R16	1	1	1*p015	1	0.33	I86
AND	R64, R64	1	1	1*p015	1	0.33	I86
AND	M16, I16	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
AND	M16, R16	7	7	1*p015+1*p05+1*p2+2*p3+1*p4	30	20.25	lock I86
AND	M32, I32	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
AND	M32, R32	7	7	1*p015+1*p05+1*p2+2*p3+1*p4	30	20.25	lock I86
AND	M64, I32	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
AND	M64, R64	7	7	1*p015+1*p05+1*p2+2*p3+1*p4	30	20.25	lock I86
AND	M8, I8	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
AND	M8, R8l	7	7	1*p015+1*p05+1*p2+2*p3+1*p4	30	20.25	lock I86
AND	R8l, I8	1	1	1*p015	1	0.33	I86
BSF	R16, R16	2	2	1*p015+1*p1	2	1.00	I386
BSF	R32, R32	2	2	1*p015+1*p1	2	1.00	I386
BSF	R64, R64	2	2	1*p015+1*p1	2	1.00	I386
BSR	R16, R16	2	2	1*p015+1*p1	2	1.00	I386
BSR	R32, R32	2	2	1*p015+1*p1	2	1.00	I386
BSR	R64, R64	2	2	1*p015+1*p1	2	1.00	I386
BSWAP	R64	2	2	1*p0+1*p05	4	1.00	I486REAL
BT	M16, I8	2	2	1*p015+1*p2		1.00	I386
BT	M32, 0	2	2	1*p015+1*p2		1.00	I386
BT	M32, R32	10	10	1*p0+6*p015+1*p05+1*p2+1*p5	10	5.00	I386
BT	M64, I8	2	2	1*p015+1*p2		1.00	I386
BT	R16, 0	1	1	1*p015	1	1.00	I386
BT	R16, R16	1	1	1*p015	1	1.00	I386
BT	R32, I8	1	1	1*p015	1	1.00	I386
BT	R64, 0	1	1	1*p015	1	1.00	I386
BT	R64, R64	1	1	1*p015	1	1.00	I386
BTC	M16, I8	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I386
BTC	M32, 0	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I386
BTC	M32, R32	11	11	1*p0+5*p015+2*p05+1*p2+1*p3+1*p4	14	5.00	I386
BTC	M64, I8	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I386
BTC	R16, 0	1	1	1*p015	1	1.00	I386
BTC	R16, R16	1	1	1*p015	1	1.00	I386
BTC	R32, I8	1	1	1*p015	1	1.00	I386
BTC	R64, 0	1	1	1*p015	1	1.00	I386
BTC	R64, R64	1	1	1*p015	1	1.00	I386
BTC	M16, I8	7	7	1*p015+1*p05+1*p2+2*p3+1*p4		20.00	lock I386
BTC	M32, 0	7	7	1*p015+1*p05+1*p2+2*p3+1*p4		20.00	lock I386
BTC	M32, R32	13	13	1*p0+5*p015+2*p05+1*p2+2*p3+1*p4	26	20.00	lock I386
BTC	M64, I8	7	7	1*p015+1*p05+1*p2+2*p3+1*p4		20.00	lock I386
BTR	M16, 0	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I386
BTR	M16, R16	11	11	1*p0+5*p015+2*p05+1*p2+1*p3+1*p4	14	5.00	I386
BTR	M32, I8	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I386
BTR	M64, 0	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I386
BTR	M64, R64	10	10	1*p0+4*p015+2*p05+1*p2+1*p3+1*p4	13	5.00	I386
BTR	R16, I8	1	1	1*p015	1	1.00	I386
BTR	R32, 0	1	1	1*p015	1	1.00	I386
BTR	R32, R32	1	1	1*p015	1	1.00	I386
BTR	R64, I8	1	1	1*p015	1	1.00	I386
BTR	M16, 0	7	7	1*p015+1*p05+1*p2+2*p3+1*p4		20.00	lock I386
BTR	M16, R16	13	13	1*p0+5*p015+2*p05+1*p2+2*p3+1*p4	26	20.00	lock I386
BTR	M32, I8	7	7	1*p015+1*p05+1*p2+2*p3+1*p4		20.00	lock I386
BTR	M64, 0	7	7	1*p015+1*p05+1*p2+2*p3+1*p4		20.00	lock I386
BTR	M64, R64	13	13	1*p0+4*p015+2*p05+1*p2+2*p3+1*p4+1*p5	26	20.00	lock I386
BTS	M16, I8	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I386
BTS	M32, 0	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I386
BTS	M32, R32	11	11	1*p0+5*p015+2*p05+1*p2+1*p3+1*p4	14	5.00	I386
BTS	M64, I8	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I386
BTS	R16, 0	1	1	1*p015	1	1.00	I386
BTS	R16, R16	1	1	1*p015	1	1.00	I386
BTS	R32, I8	1	1	1*p015	1	1.00	I386
BTS	R64, 0	1	1	1*p015	1	1.00	I386
BTS	R64, R64	1	1	1*p015	1	1.00	I386
BTS	M16, I8	7	7	1*p015+1*p05+1*p2+2*p3+1*p4		20.00	lock I386
BTS	M32, 0	7	7	1*p015+1*p05+1*p2+2*p3+1*p4		20.00	lock I386
BTS	M32, R32	13	13	1*p0+5*p015+2*p05+1*p2+2*p3+1*p4	26	20.00	lock I386
BTS	M64, I8	7	7	1*p015+1*p05+1*p2+2*p3+1*p4		20.00	lock I386
CALL	R64	4	4	1*p3+1*p4+2*p5		2.40	I86
CBW		1	1	1*p015	1	1.00	I86
CLC		1	1	1*p015		0.33	I86
CLI		9	9	7*p015+2*p5		10.75	I86
CMC		1	1	1*p015	1	0.67	I86
CMOVB	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVB	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVB	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVBE	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVBE	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVBE	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVL	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVL	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVL	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVLE	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVLE	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVLE	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVNB	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVNB	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVNB	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVNBE	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVNBE	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVNBE	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVNL	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVNL	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVNL	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVNLE	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVNLE	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVNLE	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVNO	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVNO	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVNO	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVNP	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVNP	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVNP	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVNS	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVNS	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVNS	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVNZ	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVNZ	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVNZ	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVO	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVO	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVO	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVP	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVP	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVP	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVS	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVS	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVS	R64, R64	2	2	2*p015	2	1.00	CMOV
CMOVZ	R16, R16	2	2	2*p015	2	1.00	CMOV
CMOVZ	R32, R32	2	2	2*p015	2	1.00	CMOV
CMOVZ	R64, R64	2	2	2*p015	2	1.00	CMOV
CMP	AL, I8	1	1	1*p015	1	0.33	I86
CMP	EAX, I32	1	1	1*p015	1	0.33	I86
CMP	M16, I16	2	2	1*p015+1*p2		2.62	I86
CMP	M16, R16	2	2	1*p015+1*p2	1	1.00	I86
CMP	M32, I32	2	2	1*p015+1*p2		1.00	I86
CMP	M32, R32	2	2	1*p015+1*p2	1	1.00	I86
CMP	M64, I32	2	2	1*p015+1*p2		1.00	I86
CMP	M64, R64	2	2	1*p015+1*p2	1	1.00	I86
CMP	M8, I8	2	2	1*p015+1*p2		1.00	I86
CMP	M8, R8l	2	2	1*p015+1*p2	1	1.00	I86
CMP	R16, I16	1	1	1*p5	1	2.62	I86
CMP	R16, M16	2	2	1*p015+1*p2	1	1.00	I86
CMP	R32, I32	1	1	1*p015	1	0.44	I86
CMP	R32, M32	2	2	1*p015+1*p2	1	1.00	I86
CMP	R64, I32	1	1	1*p015	1	0.44	I86
CMP	R64, M64	2	2	1*p015+1*p2	1	1.00	I86
CMP	R8h, I8	1	1	1*p015	1	0.33	I86
CMP	R8l, M8	2	2	1*p015+1*p2	1	1.00	I86
CMPSB		7	7	3*p015+1*p05+3*p2	3	3.00	I86
REPNE_CMPSB		17	17	1*p0+4*p015+3*p05+3*p1+6*p5		20.00	I86
REPE_CMPSD		17	17	1*p0+4*p015+3*p05+3*p1+6*p5		20.00	I386
CMPSW		7	7	3*p015+1*p05+3*p2	3	3.00	I86
REPNE_CMPSW		17	17	1*p0+4*p015+3*p05+3*p1+6*p5		20.00	I86
CMPXCHG	M32, R32	9	9	2*p0+3*p015+1*p2+1*p3+1*p4+1*p5	9	6.00	I486REAL
CMPXCHG	M8, R8h	9	9	2*p0+3*p015+1*p2+1*p3+1*p4+1*p5	9	6.00	I486REAL
CMPXCHG	R16, R16	8	8	2*p0+5*p015+1*p05	7	6.00	I486REAL
CMPXCHG	R64, R64	8	8	2*p0+5*p015+1*p05	7	6.00	I486REAL
CMPXCHG	R8h, R8l	8	8	2*p0+5*p015+1*p5	7	6.00	I486REAL
CMPXCHG	R8l, R8l	8	8	2*p0+5*p015+1*p05	7	6.00	I486REAL
CMPXCHG8B	M64	17	17	7*p015+4*p05+1*p1+1*p2+2*p3+1*p4	34	23.96	lock PENTIUMREAL
CMPXCHG	M32, R32	11	11	2*p0+4*p015+1*p2+2*p3+1*p4	33	24.00	lock I486REAL
CMPXCHG	M8, R8h	11	11	2*p0+3*p015+1*p05+1*p2+2*p3+1*p4	34	24.00	lock I486REAL
CMP	R8h, R8h	1	1	1*p015	1	0.35	I86
CMP	R8l, R8h	1	1	1*p015	1	0.33	I86
CMP	R16, R16	1	1	1*p015	1	0.33	I86
CMP	R64, R64	1	1	1*p015	1	0.33	I86
CMP	R8h, R8l	1	1	1*p015	1	0.33	I86
CMP	R8l, R8l	1	1	1*p015	1	0.33	I86
CMP	R32, R32	1	1	1*p015	1	0.33	I86
CMP	R8l, 0	1	1	1*p015	1	0.33	I86
CPUID		76	76	12*p0+19*p1+2*p3+2*p4+60*p5		177.50	I486REAL
CWDE		1	1	1*p015	1	1.00	I386
DEC	M32	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I86
DEC	M8	4	4	1*p015+1*p2+1*p3+1*p4		1.86	I86
DEC	R32	1	1	1*p015	1	0.33	I86
DEC	R8h	1	1	1*p015	1	0.33	I86
DEC	M16	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
DEC	M64	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
DIV	M16	5	5	1*p0+1*p015+2*p05+1*p2		12.00	I86
DIV	M64	34	34	2*p0+8*p015+8*p05+9*p1+1*p2+6*p5		17.43	I86
DIV	R16	4	4	1*p0+1*p015+2*p05		12.06	I86
DIV	R64	34	34	2*p0+8*p015+8*p05+10*p1+6*p5		17.71	I86
DIV	R8l	3	3	1*p0+1*p015+1*p05	18	12.00	I86
ENTER	I16, I8	49	49	17*p0+12*p1+10*p2+11*p3		64.50	I186
IDIV	M16	5	5	1*p0+1*p015+2*p05+1*p2		12.00	I86
IDIV	M64	57	57	7*p0+11*p015+10*p05+15*p1+1*p2+13*p5		28.00	I86
IDIV	R16	4	4	1*p0+1*p015+2*p05		12.06	I86
IDIV	R64	57	57	6*p0+11*p015+13*p05+14*p1+13*p5		28.31	I86
IDIV	R8l	3	3	1*p0+1*p015+1*p05	18	12.00	I86
IMUL	M32	4	4	1*p015+1*p05+1*p1+1*p2	4	1.50	I86
IMUL	M8	2	2	1*p1+1*p2	3	1.00	I86
IMUL	R16, M16	2	2	1*p1+1*p2	3	1.00	I86
IMUL	R16, M16, I16	2	2	1*p1+1*p2	0	2.62	I186
IMUL	R16, R16	1	1	1*p1	3	1.00	I86
IMUL	R16, R16, I16	1	1	1*p1	3	2.62	I186
IMUL	R32	3	3	1*p015+1*p05+1*p1	4	1.53	I86
IMUL	R32, M32, 0	2	2	1*p1+1*p2		1.00	I186
IMUL	R32, M32, I8	2	2	1*p1+1*p2		1.00	I186
IMUL	R32, R32, 0	1	1	1*p1	3	1.00	I186
IMUL	R32, R32, I8	1	1	1*p1	3	1.00	I186
IMUL	R64, M64	2	2	1*p0+1*p2	7	2.00	I86
IMUL	R64, M64, I32	2	2	1*p0+1*p2		2.10	I186
IMUL	R64, R64	1	1	1*p0	7	2.00	I86
IMUL	R64, R64, I32	1	1	1*p0	7	2.07	I186
IMUL	R8h	1	1	1*p1	3	1.00	I86
IN	AL, 0	65	65	10*p0+4*p015+16*p1+1*p2+1*p3+1*p4+32*p5		3037.47	I86
IN	AL, I8	65	65	10*p0+4*p015+16*p1+1*p2+1*p3+1*p4+32*p5		1302.33	I86
IN	AX, DX	65	65	10*p0+4*p015+16*p1+1*p2+1*p3+1*p4+32*p5		2053.23	I86
IN	EAX, 0	65	65	10*p0+4*p015+16*p1+1*p2+1*p3+1*p4+32*p5		3025.92	I86
IN	EAX, I8	65	65	10*p0+4*p015+16*p1+1*p2+1*p3+1*p4+32*p5		2029.98	I86
INC	M32	4	4	1*p015+1*p2+1*p3+1*p4		1.00	I86
INC	M8	4	4	1*p015+1*p2+1*p3+1*p4		1.86	I86
INC	R32	1	1	1*p015	1	0.33	I86
INC	R8h	1	1	1*p015	1	0.33	I86
INC	M16	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
INC	M64	8	8	1*p015+1*p05+1*p2+2*p3+1*p4+1*p5		20.00	lock I86
INSB		54	54	5*p0+7*p015+1*p05+10*p1+4*p2+2*p3+2*p4+23*p5		1279.33	I186
REP_INSB		62	62	7*p0+5*p015+16*p1+4*p2+2*p3+1*p4+27*p5		171.40	I186
REP_INSD		62	62	7*p0+5*p015+16*p1+4*p2+2*p3+1*p4+27*p5		171.40	I386
INSW		54	54	5*p0+7*p015+1*p05+10*p1+4*p2+2*p3+2*p4+23*p5		2001.28	I186
REP_INSW		62	62	7*p0+6*p015+15*p1+4*p2+2*p3+1*p4+27*p5		171.50	I186
JB	Rel32	1	1	1*p5		1.00	I86
JBE	Rel32	1	1	1*p5		1.00	I86
JL	Rel32	1	1	1*p5		1.00	I86
JLE	Rel32	1	1	1*p5		1.00	I86
JMP	M64	2	2	1*p2+1*p5		2.95	I86
JMP	Rel32	1	1	1*p5		1.00	I86
JNB	Rel8	1	1	1*p5		1.00	I86
JNBE	Rel8	1	1	1*p5		1.00	I86
JNL	Rel8	1	1	1*p5		1.00	I86
JNLE	Rel8	1	1	1*p5		1.00	I86
JNO	Rel8	1	1	1*p5		1.00	I86
JNP	Rel8	1	1	1*p5		1.00	I86
JNS	Rel8	1	1	1*p5		1.00	I86
JNZ	Rel8	1	1	1*p5		1.00	I86
JO	Rel8	1	1	1*p5		1.00	I86
JP	Rel8	1	1	1*p5		1.00	I86
JS	Rel32	1	1	1*p5		1.00	I86
JZ	Rel32	1	1	1*p5		1.00	I86
LAHF		1	1	1*p015	1	0.33	LAHF
LAR	R16, R16	18	18	3*p0+4*p015+2*p05+2*p1+4*p2+3*p5	60	41.25	I286PROTECTED
LAR	R32, R32	18	18	3*p0+4*p015+2*p05+2*p1+4*p2+3*p5	42	41.00	I286PROTECTED
LAR	R64, R64	18	18	3*p0+4*p015+2*p05+2*p1+4*p2+3*p5	42	41.00	I286PROTECTED
LEAVE		3	3	2*p015+1*p2	4	1.16	I186
LEA	R32	1	1	1*p0		1.00	I86
LEA	R16	1	1	1*p0	0	1.00	I86
LEA	R64	1	1	1*p0		1.00	I86
LLDT	M16	25	25	4*p0+2*p015+2*p05+2*p1+4*p2+1*p3+1*p4+9*p5		118.00	I286PROTECTED
LMSW	M16	32	32	6*p0+3*p015+2*p05+5*p1+2*p2+1*p3+1*p4+12*p5		86.03	I286REAL
LODSB		3	3	1*p015+2*p2		2.00	I86
REP_LODSB		14	14	4*p015+5*p05+1*p1+4*p5		20.00	I86
REP_LODSD		14	14	4*p015+5*p05+1*p1+4*p5		20.00	I386
LODSW		3	3	1*p015+2*p2		2.00	I86
REP_LODSW		14	14	4*p015+5*p05+1*p1+4*p5		20.00	I86
LOOPE	Rel8	11	11	7*p015+1*p05+1*p1+2*p5	2	6.08	I86
LSL	R16, M16	17	17	3*p0+3*p015+1*p05+2*p1+5*p2+5*p5	80	27.00	I286PROTECTED
LSL	R32, M16	17	17	3*p0+1*p05+3*p1+5*p2+5*p5	24	27.00	I286PROTECTED
LSL	R64, M16	17	17	3*p0+1*p05+3*p1+5*p2+5*p5	24	27.00	I286PROTECTED
MOV	AX, Moffs16	1	1	1*p2	4	1.00	I86
MOV	M16, I16	2	2	1*p3+1*p4		2.62	I86
MOV	M16, SEG	3	3	1*p2+1*p3+1*p4		1.00	I86
MOV	M32, R32	2	2	1*p3+1*p4	4	1.00	I86
MOV	M64, R64	2	2	1*p3+1*p4	4	1.00	I86
MOV	M8, I8	2	2	1*p3+1*p4		1.00	I86
MOV	M8, R8l	2	2	1*p3+1*p4	4	1.00	I86
MOV	Moffs32, EAX	2	2	1*p3+1*p4	4	1.00	I86
MOV	Moffs8, AL	2	2	1*p3+1*p4	4	1.00	I86
MOV	R16, M16	1	1	1*p2	0	1.00	I86
MOV	R32, I32	1	1	1*p015		0.35	I86
MOV	R32, SEG	1	1	1*p2		1.00	I86
MOV	R64, I64	1	1	1*p015		0.62	I86
MOV	R64, SEG	1	1	1*p2		1.00	I86
MOV	R8h, I8	1	1	1*p015	0	0.33	I86
MOV	R8l, 0	1	1	1*p015	0	0.33	I86
MOV	R8l, M8	1	1	1*p2	0	1.00	I86
MOVSB		8	8	2*p015+1*p05+2*p2+1*p3+1*p4+1*p5		5.00	I86
REP_MOVSB		26	26	8*p015+2*p05+5*p1+3*p2+3*p3+3*p4+2*p5		12.00	I86
REP_MOVSD		77	77	3*p0+8*p015+10*p05+12*p1+12*p2+13*p3+13*p4+6*p5		30.00	I386
MOVSW		8	8	2*p015+1*p05+2*p2+1*p3+1*p4+1*p5		5.00	I86
REP_MOVSW		77	77	3*p0+8*p015+10*p05+12*p1+12*p2+13*p3+13*p4+6*p5		30.00	I86
MOVSX	R16, R8h	1	1	1*p015	1	0.33	I386
MOVSX	R32, M16	1	1	1*p2		1.00	I386
MOVSX	R32, R16	1	1	1*p015	1	0.33	I386
MOVSX	R32, R8l	1	1	1*p015	1	0.33	I386
MOVSX	R64, M8	2	2	1*p015+1*p2		1.00	I386
MOVSX	R64, R8l	1	1	1*p015	1	0.33	I386
MOVZX	R16, R8h	1	1	1*p015	1	0.33	I386
MOVZX	R32, M16	1	1	1*p2		1.00	I386
MOVZX	R32, R16	1	1	1*p015	1	0.33	I386
MOVZX	R32, R8l	1	1	1*p015	1	0.33	I386
MOVZX	R64, M8	1	1	1*p2		1.00	I386
MOVZX	R64, R8l	1	1	1*p015	1	0.33	I386
